"","Gene_name","log2FoldChange","padj"
"ENSG00000000938","FGR",-3.73433842690006,5.80693287918982e-21
"ENSG00000001617","SEMA3F",-9.26976335768235,0.00312886853848529
"ENSG00000002746","HECW1",-7.36202590369971,0.00405051422291437
"ENSG00000004399","PLXND1",1.79550425889442,0.015036900076857
"ENSG00000004478","FKBP4",2.27385429098068,0.00656349594676234
"ENSG00000004660","CAMKK1",-3.31450341058542,4.75136781748815e-08
"ENSG00000004700","RECQL",1.95535746150774,0.0145736760746755
"ENSG00000004766","VPS50",2.5994778558035,1.83089023997851e-05
"ENSG00000005108","THSD7A",-7.86087144621997,0.0278092699613919
"ENSG00000005339","CREBBP",-1.96884135635348,3.72414786833227e-05
"ENSG00000005379","TSPOAP1",-5.72544549334865,3.81002786476456e-17
"ENSG00000005469","CROT",3.44550970584458,0.011011663298856
"ENSG00000005483","KMT2E",-1.97493621469539,0.000533589320919685
"ENSG00000005844","ITGAL",-2.33075832872627,7.10317106640336e-07
"ENSG00000006071","ABCC8",-8.1158448577131,0.000291122780153225
"ENSG00000006283","CACNA1G",-7.92217197968936,0.000444560341572698
"ENSG00000006638","TBXA2R",-3.16932727301139,0.0254694538498399
"ENSG00000006652","IFRD1",-3.53829030213306,3.07398437542798e-10
"ENSG00000006704","GTF2IRD1",3.61398980995574,4.23512137386474e-05
"ENSG00000006715","VPS41",2.45762682990304,1.06219670537119e-08
"ENSG00000006744","ELAC2",1.7298950454272,0.0304590927125981
"ENSG00000007047","MARK4",-1.94135159915094,0.00422720136466923
"ENSG00000007264","MATK",3.38508842571239,0.000191563028961854
"ENSG00000007372","PAX6",-7.50607002767647,0.0251416846694594
"ENSG00000007392","LUC7L",-1.7287249553486,0.0391554895511471
"ENSG00000007923","DNAJC11",2.25104390851476,0.0386853451761615
"ENSG00000008056","SYN1",-7.72794084564329,0.000970971712465712
"ENSG00000008083","JARID2",-3.767244372851,1.69490967150847e-20
"ENSG00000008118","CAMK1G",-7.57896215011537,0.00465315690380981
"ENSG00000008128","CDK11A",-2.9484417103803,5.7549589596778e-19
"ENSG00000008300","CELSR3",-3.33440597010513,0.0409937802137786
"ENSG00000009694","TENM1",-7.77230952045149,0.000531002343545466
"ENSG00000009790","TRAF3IP3",-2.39804268988695,7.28476931781202e-05
"ENSG00000009844","VTA1",2.23913334257494,7.70302654529736e-05
"ENSG00000009950","MLXIPL",-5.70551590205417,2.07807601863157e-09
"ENSG00000010278","CD9",3.34441973259464,1.3195056098942e-08
"ENSG00000010292","NCAPD2",2.87863435079297,1.24772421208695e-07
"ENSG00000010295","IFFO1",1.82406079144574,0.036442003810498
"ENSG00000010310","GIPR",-4.55192223095935,0.0236590714861935
"ENSG00000010327","STAB1",3.82850670787614,5.88995021056751e-13
"ENSG00000010610","CD4",1.80302231863119,0.0281531791443871
"ENSG00000010704","HFE",3.61925347260642,1.32347382863164e-09
"ENSG00000010810","FYN",-3.48938616965413,1.93577326588678e-05
"ENSG00000011028","MRC2",6.63428418289454,9.10794463159096e-15
"ENSG00000011198","ABHD5",-2.05620758298862,0.0237118311555009
"ENSG00000011201","ANOS1",5.55646118969043,0.000154952558667736
"ENSG00000011422","PLAUR",-4.47654471193239,9.56340725310584e-16
"ENSG00000011426","ANLN",2.65102564830364,0.00162136631151162
"ENSG00000012171","SEMA3B",-8.28169175141189,0.00125101465519489
"ENSG00000012232","EXTL3",-2.07141008560258,0.0263473463881828
"ENSG00000012779","ALOX5",-4.61253578710058,1.23920038974039e-13
"ENSG00000013293","SLC7A14",-4.46969510771407,0.0357337753424972
"ENSG00000013441","CLK1",-3.18896838588799,1.30728927390247e-08
"ENSG00000013561","RNF14",1.89928349992864,0.0296677592830315
"ENSG00000013588","GPRC5A",-8.89441732259641,1.31655741319265e-05
"ENSG00000014641","MDH1",3.70251182229909,2.73910615987216e-11
"ENSG00000014914","MTMR11",-5.35466448068946,9.83862017469668e-08
"ENSG00000014919","COX15",3.10632815346217,0.00166989436490929
"ENSG00000015133","CCDC88C",-2.45654787968387,0.00149417755922518
"ENSG00000015568","RGPD5",-2.0518083799154,0.0183462511854686
"ENSG00000016864","GLT8D1",3.23654835290405,0.0077383808800154
"ENSG00000017427","IGF1",8.24116714408937,3.88327259712854e-63
"ENSG00000018280","SLC11A1",-2.22588596594333,0.0052124300751277
"ENSG00000018625","ATP1A2",-7.27003874605413,0.0329574860540038
"ENSG00000018699","TTC27",2.75733638109032,0.0028439589207542
"ENSG00000018869","ZNF582",4.25982850100835,0.0400070959926766
"ENSG00000019991","HGF",2.95557821507693,0.00679608558818667
"ENSG00000019995","ZRANB1",-2.01274477051784,0.000191825118187987
"ENSG00000020129","NCDN",2.35479391271429,0.0286541503248061
"ENSG00000020577","SAMD4A",2.59113981490863,0.00341825562231602
"ENSG00000021645","NRXN3",-7.71738136584529,0.0013070379073634
"ENSG00000021826","CPS1",-3.65045238050031,0.0167976844313905
"ENSG00000023287","RB1CC1",-2.04168008955286,0.000749439377912835
"ENSG00000023516","AKAP11",3.46505532066839,2.94788215494448e-17
"ENSG00000023909","GCLM",3.06549862453871,0.000370533185011946
"ENSG00000024526","DEPDC1",4.0709298300621,0.00674275833889372
"ENSG00000025156","HSF2",-1.99330631962213,0.0344077137805126
"ENSG00000025434","NR1H3",2.99496447668649,0.000577703330021576
"ENSG00000026103","FAS",-1.99428410909971,0.036170567819375
"ENSG00000026652","AGPAT4",2.42745115718462,0.00799282976232384
"ENSG00000028528","SNX1",2.08056776770084,0.00070719133035833
"ENSG00000029363","BCLAF1",-1.72619870211664,0.00177623476327365
"ENSG00000029725","RABEP1",1.83168350333512,0.0481322613428507
"ENSG00000030419","IKZF2",4.5620498461904,0.00271452904591339
