"","Gene_name","log2FoldChange","padj"
"ENSG00000001461","NIPAL3",3.07495163723073,1.55087075215575e-05
"ENSG00000001561","ENPP4",3.00482973688595,1.35758844764802e-05
"ENSG00000001630","CYP51A1",1.9902153360657,0.00847735641613857
"ENSG00000002587","HS3ST1",-8.66187026836676,1.30456996940344e-06
"ENSG00000002746","HECW1",-8.3063045428807,0.00134353991580215
"ENSG00000002933","TMEM176A",-1.717696540042,0.0399178235146804
"ENSG00000004468","CD38",-5.46661469036813,0.000133180350894848
"ENSG00000004478","FKBP4",2.7993877878737,3.77735189593212e-05
"ENSG00000004660","CAMKK1",-2.17756735912324,0.0115203835328025
"ENSG00000004700","RECQL",2.27692205910027,0.000474697199747676
"ENSG00000004766","VPS50",2.28659536172748,0.000864915111635764
"ENSG00000004799","PDK4",-3.85219269913606,1.61731858112768e-08
"ENSG00000005100","DHX33",1.94301273825553,0.0424626618410496
"ENSG00000005108","THSD7A",-7.87842997738489,0.0255529702307704
"ENSG00000005339","CREBBP",-2.34068580287245,2.33847983207836e-09
"ENSG00000005469","CROT",3.74826291528429,0.00321937098104948
"ENSG00000005483","KMT2E",-1.96295554129068,0.000589299913619372
"ENSG00000005884","ITGA3",5.34448378300611,4.6878308192792e-16
"ENSG00000006071","ABCC8",-9.07279071312086,2.45266795942033e-05
"ENSG00000006652","IFRD1",-3.41770190495895,2.04802288780291e-09
"ENSG00000006704","GTF2IRD1",3.5722575550614,5.01139741679875e-05
"ENSG00000006715","VPS41",2.34493002454009,1.69389883810691e-07
"ENSG00000006831","ADIPOR2",3.01129131020556,1.16620059015144e-05
"ENSG00000007047","MARK4",-1.75315238213768,0.0282668257941333
"ENSG00000007129","CEACAM21",4.93397278026638,0.00264932443611257
"ENSG00000007174","DNAH9",-7.78925358650324,0.0274819173835303
"ENSG00000007237","GAS7",-1.7899566944006,0.0141222424575117
"ENSG00000007264","MATK",6.94006171704498,1.99292035970695e-25
"ENSG00000007372","PAX6",-7.52362856543125,0.0228743723450155
"ENSG00000007392","LUC7L",-1.95488975633871,0.00386157394532481
"ENSG00000007923","DNAJC11",2.36844597506498,0.0194133412071559
"ENSG00000007944","MYLIP",-2.81119275635614,1.40766632310752e-05
"ENSG00000008056","SYN1",-9.82106433733867,9.62046705071605e-05
"ENSG00000008083","JARID2",-4.31578066492014,2.75938089491069e-29
"ENSG00000008128","CDK11A",-2.85188530217595,3.23023506494851e-17
"ENSG00000008516","MMP25",-2.96865208148631,0.00600319566621719
"ENSG00000008735","MAPK8IP2",-6.95652303697726,0.0299428500790816
"ENSG00000008853","RHOBTB2",4.0344657851338,0.017776133469972
"ENSG00000009694","TENM1",-8.41213486441482,0.000105128928378206
"ENSG00000009790","TRAF3IP3",-3.5741833019432,3.81465341242611e-15
"ENSG00000009844","VTA1",2.04439273806145,0.00115648443872499
"ENSG00000009950","MLXIPL",-4.53991385547296,3.47446534704494e-06
"ENSG00000010278","CD9",3.82582877132247,2.67434221499742e-12
"ENSG00000010292","NCAPD2",3.37417779222053,6.41418353378519e-12
"ENSG00000010327","STAB1",-4.3620721253064,8.74752065306443e-18
"ENSG00000011028","MRC2",8.6980818200999,2.06767247787958e-27
"ENSG00000011201","ANOS1",5.79202857519608,5.37097539506438e-05
"ENSG00000011422","PLAUR",-2.37211890965682,0.00519136471077171
"ENSG00000011426","ANLN",3.36000767792893,1.46483305400179e-06
"ENSG00000012232","EXTL3",-2.18396336915325,0.0112721375739799
"ENSG00000013293","SLC7A14",-4.7633604929985,0.0204623155716958
"ENSG00000013392","RWDD2A",3.11539026668118,0.01651427261168
"ENSG00000013441","CLK1",-3.63862791196513,2.75419265394411e-12
"ENSG00000013588","GPRC5A",-8.91197588372689,1.18199384344351e-05
"ENSG00000014138","POLA2",2.40030200053542,0.00789780290176074
"ENSG00000014641","MDH1",4.48408034974761,1.56272088334654e-18
"ENSG00000014824","SLC30A9",1.85858074757721,0.0394208416345805
"ENSG00000014919","COX15",3.15282937138597,0.00114031116341462
"ENSG00000015133","CCDC88C",-3.80932540681552,1.4169296899409e-11
"ENSG00000015153","YAF2",-2.59756116128397,0.00650133718721504
"ENSG00000015475","BID",-1.9619530546724,0.0114973372848507
"ENSG00000015479","MATR3",-1.65684274825883,0.0144797333142117
"ENSG00000015532","XYLT2",2.36334615638103,0.0342108141530614
"ENSG00000015568","RGPD5",-2.22491042234082,0.00412683582649138
"ENSG00000016864","GLT8D1",3.0032130774277,0.0186732855913475
"ENSG00000017260","ATP2C1",1.91137249072962,0.00146335322578008
"ENSG00000017427","IGF1",-2.99404243814074,0.00225243817383341
