"","Gene_name","log2FoldChange","padj"
"ENSG00000006704","GTF2IRD1",3.61398980995574,4.23512137386474e-05
"ENSG00000007372","PAX6",-7.50607002767647,0.0251416846694594
"ENSG00000009950","MLXIPL",-5.70551590205417,2.07807601863157e-09
"ENSG00000018869","ZNF582",4.25982850100835,0.0400070959926766
"ENSG00000025156","HSF2",-1.99330631962213,0.0344077137805126
"ENSG00000025434","NR1H3",2.99496447668649,0.000577703330021576
"ENSG00000030419","IKZF2",4.5620498461904,0.00271452904591339
"ENSG00000050344","NFE2L3",2.9206847481327,0.000854428733009202
"ENSG00000059728","MXD1",-4.05614744803653,6.76686855740762e-12
"ENSG00000062370","ZNF112",4.45037764547389,0.000574080420796978
"ENSG00000066336","SPI1",-1.68896849303893,0.00792401207502234
"ENSG00000067082","KLF6",-3.04826310335874,3.33568546846564e-11
"ENSG00000069011","PITX1",-6.54295404906944,0.00588501803763279
"ENSG00000069812","HES2",-3.38435252309405,0.0300704465635222
"ENSG00000070444","MNT",-3.47162185930626,2.43458355966539e-13
"ENSG00000075426","FOSL2",-5.14330824609342,1.41450931415422e-28
"ENSG00000076108","BAZ2A",-1.73491690366683,0.000262201823382691
"ENSG00000077150","NFKB2",-3.59055029868565,1.1581685658409e-19
"ENSG00000079432","CIC",-1.88061780009855,0.000702155743872624
"ENSG00000081386","ZNF510",3.0689729181492,2.37339653258159e-05
"ENSG00000081692","JMJD4",2.76039475939083,0.0205272227784004
"ENSG00000087510","TFAP2C",7.20261389634351,0.00326082900537015
"ENSG00000087903","RFX2",-3.87134541174854,0.000400760569925785
"ENSG00000089335","ZNF302",2.59284813440897,0.0248477301226909
"ENSG00000091831","ESR1",4.81068648204999,3.12568866567654e-06
"ENSG00000095574","IKZF5",-1.99984022830229,0.0279999118916943
"ENSG00000100644","HIF1A",-3.76233060866629,1.13720676570883e-16
"ENSG00000101057","MYBL2",3.80934184567689,7.21220752123376e-11
"ENSG00000101076","HNF4A",-4.63085690243633,0.0242366049381582
"ENSG00000101216","GMEB2",-2.43083989721437,1.80531426074871e-06
"ENSG00000102034","ELF4",-3.2636256891498,2.09594967964194e-20
"ENSG00000102349","KLF8",-3.15602157831907,0.000387822150234347
"ENSG00000102554","KLF5",-5.02372496602928,1.60189165866297e-06
"ENSG00000102908","NFAT5",-2.66127691610923,5.80478519486052e-09
"ENSG00000104856","RELB",-2.8141333818571,2.66445934915859e-11
"ENSG00000105392","CRX",-2.88582223223252,0.000250041269247191
"ENSG00000105656","ELL",-2.98957334889775,4.34139322087206e-08
"ENSG00000105722","ERF",-2.52527356103208,1.6449996393377e-05
"ENSG00000105967","TFEC",2.32708293216005,0.000121662952644889
"ENSG00000106004","HOXA5",-6.43788006150826,0.000140425168773589
"ENSG00000106546","AHR",-2.51759520114448,2.05103926672724e-06
"ENSG00000108813","DLX4",-6.04577557233145,0.0360311375594255
"ENSG00000109381","ELF2",-1.65914317677334,0.0304590927125981
"ENSG00000109787","KLF3",-2.49524059858404,1.32724140216957e-09
"ENSG00000109906","ZBTB16",-3.29419176715754,0.00405051422291437
"ENSG00000113387","SUB1",-1.7649561503444,0.0140583979059542
"ENSG00000113648","MACROH2A1",-1.87664911910779,0.000543098792154864
"ENSG00000113916","BCL6",-4.12891169297428,5.57991386230058e-16
"ENSG00000114315","HES1",-9.39284806219951,0.00186119468833034
"ENSG00000115844","DLX2",-7.2461026157827,0.0293185806658144
"ENSG00000116132","PRRX1",-7.3623395157432,0.0332533530895122
"ENSG00000116604","MEF2D",-3.39609975372181,9.50750382754659e-15
"ENSG00000116809","ZBTB17",-2.70349467713991,2.30184178320954e-05
"ENSG00000117036","ETV3",-2.36929710855332,1.83080356571472e-07
"ENSG00000118689","FOXO3",-2.34070637564681,3.46589943644851e-06
"ENSG00000119138","KLF9",-2.21671226858956,0.000738994278073253
"ENSG00000119508","NR4A3",-3.92031482878047,5.71632006478679e-07
"ENSG00000119547","ONECUT2",-8.0098661244575,0.0326809334509033
"ENSG00000119608","PROX2",-6.74554869076323,0.0208575820852532
"ENSG00000119772","DNMT3A",2.18383428630917,3.40500198604387e-06
"ENSG00000119866","BCL11A",-1.95727142388426,0.0183511304954631
"ENSG00000120690","ELF1",-1.74668296275416,0.000154569680433767
"ENSG00000120738","EGR1",-4.79217678472624,6.6759887086279e-05
"ENSG00000120784","ZFP30",2.84005821490397,0.041220870826166
"ENSG00000121454","LHX4",-4.91885822219003,0.0189955842345013
"ENSG00000123095","BHLHE41",5.25344113100846,1.2793496233927e-05
"ENSG00000123358","NR4A1",-4.77092192984193,0.0144789217992813
"ENSG00000123405","NFE2",-5.85957077028938,2.19370965255304e-09
"ENSG00000124766","SOX4",-4.22702116173933,1.1235333210915e-15
"ENSG00000124813","RUNX2",-2.7696424462217,0.0291433451642151
"ENSG00000124920","MYRF",-5.31448309697739,3.81547815661248e-05
"ENSG00000125347","IRF1",-4.31319180006724,1.73439937014314e-15
"ENSG00000125618","PAX8",2.66600808343564,0.043081096133246
"ENSG00000125740","FOSB",-10.1467626592123,3.59916172315057e-12
"ENSG00000125812","GZF1",-4.50124929910056,0.00229967065695156
"ENSG00000125846","ZNF133",3.33645589787889,0.0178763930561853
"ENSG00000125945","ZNF436",2.20424995205054,0.0472524649681242
"ENSG00000126003","PLAGL2",-1.91032067610244,0.003815812306277
"ENSG00000126351","THRA",-2.02844300932634,0.00356988754222378
"ENSG00000126368","NR1D1",-2.83878661333685,8.60031709458674e-06
"ENSG00000126603","GLIS2",-6.54490131286925,0.0048816103542443
"ENSG00000127528","KLF2",-2.54478247547582,0.0282708602194094
"ENSG00000128272","ATF4",-2.84978133455903,6.02146601652711e-13
"ENSG00000129173","E2F8",5.0665949212988,5.06683599305615e-05
"ENSG00000130522","JUND",-3.7729350958137,3.4655251338557e-15
"ENSG00000130940","CASZ1",-2.85974632710424,0.000917868991315329
"ENSG00000131408","NR1H2",-2.02751951895528,7.89288201073459e-05
"ENSG00000131759","RARA",-3.50813726986634,2.21498481349874e-13
"ENSG00000131849","ZNF132",4.50056008483172,0.00211438812738339
"ENSG00000132475","H3-3B",-3.47636204523002,4.7774368465258e-07
"ENSG00000132510","KDM6B",-3.57969819053065,1.14433436442937e-18
"ENSG00000133794","BMAL1",-2.43591423701412,0.0105525946267769
"ENSG00000134107","BHLHE40",-4.00308180943519,3.80413379158469e-14
"ENSG00000134317","GRHL1",-3.74970776270401,0.00566720180360782
"ENSG00000134852","CLOCK",2.43218305425935,0.0129616942957402
"ENSG00000136603","SKIL",-2.14353374177579,0.00735539818989207
"ENSG00000136807","CDK9",-2.07890757337341,0.00354398499551149
"ENSG00000136826","KLF4",-5.756838009893,2.46936051878695e-18
"ENSG00000137166","FOXP4",-2.31292062962951,0.0103996105544166
"ENSG00000137309","HMGA1",-1.98470659359033,0.000959962810532033
"ENSG00000139687","RB1",4.10155959803732,1.85947849351137e-17
"ENSG00000140044","JDP2",-2.25223329246935,7.47585749063906e-05
"ENSG00000140455","USP3",-3.17164096095199,3.76063163523483e-16
"ENSG00000140853","NLRC5",-3.00985226591708,5.84413000682475e-12
"ENSG00000142065","ZFP14",2.11112207372009,0.0386853451761615
"ENSG00000142409","ZNF787",-2.48413933577964,1.54392658180208e-05
"ENSG00000143067","ZNF697",-2.07318578910104,0.0401585667948829
"ENSG00000143257","NR1I3",-4.39898152805193,0.0409276136405273
"ENSG00000144655","CSRNP1",-7.33376792058548,3.01655295084732e-44
"ENSG00000144802","NFKBIZ",-5.57409465842822,3.19266218807745e-21
"ENSG00000147050","KDM6A",-2.05570530917185,0.00385193673343665
"ENSG00000147124","ZNF41",3.53655088478041,0.000651387869680486
"ENSG00000147180","ZNF711",-6.28280665917633,0.0162059044363551
"ENSG00000148737","TCF7L2",-3.43406550216567,1.91694591110801e-10
"ENSG00000150907","FOXO1",-4.53676012618131,1.75534406700251e-12
"ENSG00000152475","ZNF837",6.04280574432062,0.0317298699209939
"ENSG00000153234","NR4A2",-4.7442332193347,0.00017326668352226
"ENSG00000155090","KLF10",-4.23547815742224,8.45148945897432e-31
"ENSG00000156273","BACH1",-2.59326932806399,0.000107786226181221
"ENSG00000157933","SKI",-3.14070267409957,0.000334642890906849
"ENSG00000159216","RUNX1",-2.74228461280697,2.96525957721519e-05
"ENSG00000160685","ZBTB7B",-1.54172432296059,0.0268049161983167
"ENSG00000160908","ZNF394",-2.10228988225562,2.18025128690359e-06
"ENSG00000161298","ZNF382",2.85892897499396,0.00663440590405422
"ENSG00000161405","IKZF3",-2.94685060897138,0.0132540011882864
"ENSG00000162599","NFIA",2.34971396457092,0.00748822849625919
"ENSG00000162702","ZNF281",-2.69044165464576,1.51769689995927e-08
"ENSG00000162711","NLRP3",-3.58343182665748,6.62459952114106e-20
