"","Gene_name","log2FoldChange","padj"
"ENSG00000006704","GTF2IRD1",3.5722575550614,5.01139741679875e-05
"ENSG00000007372","PAX6",-7.52362856543125,0.0228743723450155
"ENSG00000009950","MLXIPL",-4.53991385547296,3.47446534704494e-06
"ENSG00000018869","ZNF582",4.42675665415059,0.0273200572992441
"ENSG00000020633","RUNX3",-2.62803795733449,2.07150913707297e-07
"ENSG00000025156","HSF2",-3.03194676547012,1.02546958292439e-06
"ENSG00000025434","NR1H3",4.78279622399514,7.58805333597544e-13
"ENSG00000030419","IKZF2",6.13003194827595,3.29116417822293e-06
"ENSG00000050344","NFE2L3",3.71156978019123,5.37531159416834e-07
"ENSG00000057657","PRDM1",-3.07756451277008,5.32518394985285e-05
"ENSG00000059728","MXD1",-3.73692034801232,1.28376866886706e-09
"ENSG00000062370","ZNF112",4.14854528804964,0.00198432700100077
"ENSG00000067082","KLF6",-2.77666212873173,1.46133738684305e-08
"ENSG00000070444","MNT",-3.50443166618916,1.1323446464883e-13
"ENSG00000075426","FOSL2",-4.3724215429004,4.40845992947772e-19
"ENSG00000076108","BAZ2A",-1.66484441787276,0.00108385394605373
"ENSG00000077150","NFKB2",-3.62141085536822,4.53174355973278e-20
"ENSG00000079432","CIC",-1.66778700419851,0.014224312125255
"ENSG00000081386","ZNF510",2.49619792442002,0.00378876920905609
"ENSG00000091831","ESR1",3.76151796364762,0.00133698497274743
"ENSG00000095574","IKZF5",-2.75529400280116,1.63753588077136e-05
"ENSG00000096654","ZNF184",2.32385166246531,0.0249184377339384
"ENSG00000100644","HIF1A",-5.17379398213641,1.07514914804188e-37
"ENSG00000101057","MYBL2",5.7276453608651,1.68145236675158e-30
"ENSG00000101076","HNF4A",-7.5877839539095,0.000733837628913869
"ENSG00000101216","GMEB2",-2.08565815735371,0.000461761263887987
"ENSG00000101412","E2F1",3.58644844674369,0.00016520232197437
"ENSG00000102034","ELF4",-2.87547932163803,3.20562911402163e-14
"ENSG00000102554","KLF5",-3.6665752493731,0.00225243817383341
"ENSG00000102908","NFAT5",-2.26484944754652,1.80485623269514e-05
"ENSG00000104856","RELB",-3.6620901633212,4.7671859120374e-23
"ENSG00000105392","CRX",-3.89679517132597,1.12430984789527e-08
"ENSG00000105656","ELL",-3.93733811317688,4.88146619864575e-17
"ENSG00000105722","ERF",-2.68105245623953,1.4560956470574e-06
"ENSG00000106004","HOXA5",-6.56195803819905,8.29655300389988e-05
"ENSG00000106546","AHR",-3.83821957922233,3.27168402680235e-21
"ENSG00000109320","NFKB1",-1.99602790841064,0.00150213219212581
"ENSG00000109381","ELF2",-1.93003180300213,0.000975406184563118
"ENSG00000109787","KLF3",-3.03400824017965,2.21817866271318e-17
"ENSG00000109819","PPARGC1A",-7.60866858951385,0.00187872953821003
"ENSG00000109906","ZBTB16",-5.55077538764968,5.07058711861722e-10
"ENSG00000111206","FOXM1",3.62842540459046,7.23035428814016e-05
"ENSG00000112033","PPARD",1.71891637296761,0.0190890393572789
"ENSG00000112182","BACH2",-8.17651557897557,0.0013258128801653
"ENSG00000113916","BCL6",-2.27083314581964,0.00345803582192979
"ENSG00000114315","HES1",-12.5410951246902,3.63009255305812e-05
"ENSG00000116604","MEF2D",-3.73960567115129,4.19862934577696e-19
"ENSG00000116731","PRDM2",-1.96394120603552,9.35953723285814e-06
"ENSG00000116809","ZBTB17",-3.19370518134447,1.48858570959821e-08
"ENSG00000117036","ETV3",-2.82663596787487,7.51825530123504e-13
"ENSG00000118263","KLF7",-2.42877442308624,7.10426548048244e-07
"ENSG00000118689","FOXO3",-3.2481473339181,2.03401268896322e-16
"ENSG00000118985","ELL2",-2.41273461117415,5.62482786656404e-05
"ENSG00000119547","ONECUT2",-8.02742465047013,0.0304953332462929
"ENSG00000119772","DNMT3A",2.21845216093524,1.5132284067518e-06
"ENSG00000120093","HOXB3",-6.86597864330497,0.0153551052195033
"ENSG00000120690","ELF1",-1.96960993626338,2.92599563889249e-07
"ENSG00000120738","EGR1",-5.12459865447008,1.02728048575085e-05
"ENSG00000120784","ZFP30",3.96968540860275,0.000232088735595545
"ENSG00000121454","LHX4",-8.1603385721257,0.000213345630118557
"ENSG00000122482","ZNF644",-1.90321316236033,0.0022535366737548
"ENSG00000122877","EGR2",2.52177621122924,0.0109992296818712
"ENSG00000123095","BHLHE41",8.53495617153601,1.32799686030061e-16
"ENSG00000123358","NR4A1",-7.21806061230332,1.06065215812209e-05
"ENSG00000124092","CTCFL",-7.23556489912877,0.0362403187494634
"ENSG00000124766","SOX4",-2.21201552443737,0.0068101371899701
"ENSG00000124782","RREB1",-1.91780007899284,0.002093633755097
"ENSG00000125347","IRF1",-5.46436785757361,6.38367098625541e-28
"ENSG00000125740","FOSB",-11.1267160858259,1.33478466418635e-13
"ENSG00000125812","GZF1",-4.58359057652025,0.00158525447237026
"ENSG00000126003","PLAGL2",-2.21821449219725,4.27464399523485e-05
"ENSG00000126351","THRA",-1.98075145317103,0.00551636094364492
"ENSG00000126368","NR1D1",-4.99134403019567,7.64332920029523e-23
"ENSG00000127528","KLF2",-4.82486274665064,2.7969781761048e-10
"ENSG00000128272","ATF4",-2.20472103004508,7.90105462773388e-06
"ENSG00000129173","E2F8",5.80103307421267,8.3232276194342e-07
"ENSG00000130522","JUND",-2.3231268096253,0.000604638405812833
"ENSG00000130844","ZNF331",-2.92483235392422,0.000123523256291933
"ENSG00000131196","NFATC1",-1.79238971156297,0.014224312125255
"ENSG00000131408","NR1H2",-2.02514296031319,7.34392650053177e-05
"ENSG00000131759","RARA",-1.84026205438918,0.0388201845054458
"ENSG00000131849","ZNF132",4.49572161948587,0.00195696532416462
"ENSG00000132475","H3-3B",-3.40308333992252,1.09342431011376e-06
"ENSG00000132510","KDM6B",-4.18697008785686,2.99158795413218e-28
"ENSG00000136451","VEZF1",-2.13353860441515,9.87257914669368e-06
"ENSG00000136826","KLF4",-2.82032847471468,0.00293318992401731
"ENSG00000136997","MYC",1.99718790135228,0.0376216600303836
"ENSG00000137166","FOXP4",-2.24336599230634,0.0154815561405345
"ENSG00000137709","POU2F3",-5.97351618076703,0.0326726362795599
"ENSG00000139083","ETV6",-1.5823086483011,0.04633251656935
"ENSG00000140009","ESR2",-7.66741592576622,0.0367589434356358
"ENSG00000140044","JDP2",-3.76571095388846,2.1690152709767e-21
"ENSG00000140455","USP3",-2.57511559737631,9.37290263502807e-09
"ENSG00000140853","NLRC5",-2.30451811911077,1.88240684904196e-05
"ENSG00000141510","TP53",2.27025050994389,0.00232493334623324
"ENSG00000142409","ZNF787",-2.46797284614747,1.83349218911902e-05
"ENSG00000143257","NR1I3",-6.27279473278303,0.00561719543378315
"ENSG00000143995","MEIS1",-6.74243161419575,0.0345655263261081
"ENSG00000144655","CSRNP1",-6.40640966464973,8.16985229817685e-33
"ENSG00000144802","NFKBIZ",-3.57543236893283,4.13438826395267e-07
"ENSG00000147050","KDM6A",-2.36390980045374,8.0896053795224e-05
"ENSG00000150907","FOXO1",-3.53974987524088,7.63054191257788e-07
"ENSG00000153234","NR4A2",-7.72827923152357,1.8352351705387e-12
"ENSG00000153560","UBP1",-2.17877526969452,0.000875766114358184
"ENSG00000155090","KLF10",-3.85781226759259,3.76553573186062e-24
"ENSG00000156273","BACH1",-2.15785653502805,0.00757543210841964
"ENSG00000157557","ETS2",-4.56079223399846,6.03103164263394e-12
"ENSG00000158773","USF1",-1.85731315076271,0.00904035101806186
"ENSG00000160229","ZNF66",-2.51678064110971,0.0149672950225151
"ENSG00000160633","SAFB",-1.7883245212809,0.0324364810962892
"ENSG00000160877","NACC1",2.07427923917337,0.00128224643128016
"ENSG00000160908","ZNF394",-2.95306870916157,1.18289953223031e-18
"ENSG00000161298","ZNF382",3.04996536075769,0.00206889540512407
"ENSG00000161405","IKZF3",-4.29148513673794,6.44247311369006e-06
"ENSG00000162419","GMEB1",-1.70313732244779,0.0499385950547069
"ENSG00000162702","ZNF281",-2.65820191991999,2.96550042809625e-08
"ENSG00000162711","NLRP3",-4.99886632331991,1.44372338470354e-46
"ENSG00000162772","ATF3",-3.31035353168239,0.0131459219384969
"ENSG00000162924","REL",-3.34008233477808,2.37459624613584e-27
"ENSG00000164011","ZNF691",3.49092797952344,0.00652817561602448
"ENSG00000164032","H2AZ1",2.29477871565903,0.000253397194972254
"ENSG00000164048","ZNF589",2.15741648656827,0.00387915911003258
"ENSG00000164463","CREBRF",-2.76024181628648,3.67838986392175e-06
"ENSG00000164683","HEY1",-8.59382032824993,0.000457360584156483
"ENSG00000165030","NFIL3",-5.36676101452393,1.00643380475401e-34
"ENSG00000165244","ZNF367",4.81165885049834,1.3241301795295e-09
"ENSG00000166949","SMAD3",-7.77571249946792,1.80292727298125e-92
"ENSG00000167034","NKX3-1",-9.17954383960888,7.46907117559744e-07
"ENSG00000167554","ZNF610",3.89268659246985,0.0234169400331672
"ENSG00000167635","ZNF146",2.99524968952249,2.41365076025449e-09
"ENSG00000168310","IRF2",2.63964478562216,2.07622557731472e-07
"ENSG00000168661","ZNF30",7.10351427654172,0.00281114490414352
