"","Gene_name","log2FoldChange","padj"
"ENSG00000002746","ENSG00000002746",-8.3063045428807,0.00134353991580215
"ENSG00000004478","ENSG00000004478",2.7993877878737,3.77735189593212e-05
"ENSG00000004660","ENSG00000004660",-2.17756735912324,0.0115203835328025
"ENSG00000004700","ENSG00000004700",2.27692205910027,0.000474697199747676
"ENSG00000004766","ENSG00000004766",2.28659536172748,0.000864915111635764
"ENSG00000005108","ENSG00000005108",-7.87842997738489,0.0255529702307704
"ENSG00000005339","ENSG00000005339",-2.34068580287245,2.33847983207836e-09
"ENSG00000005469","ENSG00000005469",3.74826291528429,0.00321937098104948
"ENSG00000005483","ENSG00000005483",-1.96295554129068,0.000589299913619372
"ENSG00000006071","ENSG00000006071",-9.07279071312086,2.45266795942033e-05
"ENSG00000006652","ENSG00000006652",-3.41770190495895,2.04802288780291e-09
"ENSG00000006704","ENSG00000006704",3.5722575550614,5.01139741679875e-05
"ENSG00000006715","ENSG00000006715",2.34493002454009,1.69389883810691e-07
"ENSG00000007047","ENSG00000007047",-1.75315238213768,0.0282668257941333
"ENSG00000007264","ENSG00000007264",6.94006171704498,1.99292035970695e-25
"ENSG00000007372","ENSG00000007372",-7.52362856543125,0.0228743723450155
"ENSG00000007392","ENSG00000007392",-1.95488975633871,0.00386157394532481
"ENSG00000007923","ENSG00000007923",2.36844597506498,0.0194133412071559
"ENSG00000008056","ENSG00000008056",-9.82106433733867,9.62046705071605e-05
"ENSG00000008083","ENSG00000008083",-4.31578066492014,2.75938089491069e-29
"ENSG00000008128","ENSG00000008128",-2.85188530217595,3.23023506494851e-17
"ENSG00000009694","ENSG00000009694",-8.41213486441482,0.000105128928378206
"ENSG00000009790","ENSG00000009790",-3.5741833019432,3.81465341242611e-15
"ENSG00000009844","ENSG00000009844",2.04439273806145,0.00115648443872499
"ENSG00000009950","ENSG00000009950",-4.53991385547296,3.47446534704494e-06
"ENSG00000010278","ENSG00000010278",3.82582877132247,2.67434221499742e-12
"ENSG00000010292","ENSG00000010292",3.37417779222053,6.41418353378519e-12
"ENSG00000010327","ENSG00000010327",-4.3620721253064,8.74752065306443e-18
"ENSG00000011028","ENSG00000011028",8.6980818200999,2.06767247787958e-27
"ENSG00000011201","ENSG00000011201",5.79202857519608,5.37097539506438e-05
"ENSG00000011422","ENSG00000011422",-2.37211890965682,0.00519136471077171
"ENSG00000011426","ENSG00000011426",3.36000767792893,1.46483305400179e-06
