"","Gene_name","log2FoldChange","padj"
"ENSG00000020633","ENSG00000020633",-2.62803795733449,2.07150913707297e-07
"ENSG00000057657","ENSG00000057657",-3.07756451277008,5.32518394985285e-05
"ENSG00000096654","ENSG00000096654",2.32385166246531,0.0249184377339384
"ENSG00000101412","ENSG00000101412",3.58644844674369,0.00016520232197437
"ENSG00000109320","ENSG00000109320",-1.99602790841064,0.00150213219212581
"ENSG00000109819","ENSG00000109819",-7.60866858951385,0.00187872953821003
"ENSG00000111206","ENSG00000111206",3.62842540459046,7.23035428814016e-05
"ENSG00000112033","ENSG00000112033",1.71891637296761,0.0190890393572789
"ENSG00000112182","ENSG00000112182",-8.17651557897557,0.0013258128801653
"ENSG00000116731","ENSG00000116731",-1.96394120603552,9.35953723285814e-06
"ENSG00000118263","ENSG00000118263",-2.42877442308624,7.10426548048244e-07
"ENSG00000118985","ENSG00000118985",-2.41273461117415,5.62482786656404e-05
"ENSG00000120093","ENSG00000120093",-6.86597864330497,0.0153551052195033
"ENSG00000122482","ENSG00000122482",-1.90321316236033,0.0022535366737548
"ENSG00000122877","ENSG00000122877",2.52177621122924,0.0109992296818712
"ENSG00000124092","ENSG00000124092",-7.23556489912877,0.0362403187494634
"ENSG00000124782","ENSG00000124782",-1.91780007899284,0.002093633755097
"ENSG00000130844","ENSG00000130844",-2.92483235392422,0.000123523256291933
"ENSG00000131196","ENSG00000131196",-1.79238971156297,0.014224312125255
"ENSG00000136451","ENSG00000136451",-2.13353860441515,9.87257914669368e-06
"ENSG00000136997","ENSG00000136997",1.99718790135228,0.0376216600303836
"ENSG00000137709","ENSG00000137709",-5.97351618076703,0.0326726362795599
"ENSG00000139083","ENSG00000139083",-1.5823086483011,0.04633251656935
"ENSG00000140009","ENSG00000140009",-7.66741592576622,0.0367589434356358
"ENSG00000141510","ENSG00000141510",2.27025050994389,0.00232493334623324
"ENSG00000143995","ENSG00000143995",-6.74243161419575,0.0345655263261081
"ENSG00000153560","ENSG00000153560",-2.17877526969452,0.000875766114358184
"ENSG00000157557","ENSG00000157557",-4.56079223399846,6.03103164263394e-12
"ENSG00000158773","ENSG00000158773",-1.85731315076271,0.00904035101806186
"ENSG00000160229","ENSG00000160229",-2.51678064110971,0.0149672950225151
"ENSG00000160633","ENSG00000160633",-1.7883245212809,0.0324364810962892
"ENSG00000160877","ENSG00000160877",2.07427923917337,0.00128224643128016
"ENSG00000162419","ENSG00000162419",-1.70313732244779,0.0499385950547069
"ENSG00000164032","ENSG00000164032",2.29477871565903,0.000253397194972254
"ENSG00000164048","ENSG00000164048",2.15741648656827,0.00387915911003258
"ENSG00000164463","ENSG00000164463",-2.76024181628648,3.67838986392175e-06
"ENSG00000167554","ENSG00000167554",3.89268659246985,0.0234169400331672
"ENSG00000169554","ENSG00000169554",-1.63350255366075,0.00892284261554421
"ENSG00000169926","ENSG00000169926",-1.66152632224404,0.0308218969958935
"ENSG00000173230","ENSG00000173230",-1.51071903945113,0.0449874143970976
"ENSG00000173258","ENSG00000173258",-4.46093031038467,0.00804961300965967
"ENSG00000174738","ENSG00000174738",-3.31760532669948,1.44627311598115e-15
"ENSG00000175727","ENSG00000175727",-2.05187318972851,0.000484669661161385
"ENSG00000178175","ENSG00000178175",5.37228255837661,5.92406669685849e-16
"ENSG00000178187","ENSG00000178187",-7.83420497108807,0.0148421819826408
"ENSG00000181220","ENSG00000181220",-2.8884024926838,2.78511193389231e-10
"ENSG00000182568","ENSG00000182568",-2.45049120207409,0.00144097289353289
"ENSG00000183207","ENSG00000183207",1.8394229267364,0.0467254428413258
"ENSG00000183283","ENSG00000183283",-1.78185464599554,0.00326585253865022
"ENSG00000184828","ENSG00000184828",3.46021149765629,0.039888904472334
"ENSG00000187815","ENSG00000187815",2.76539165979166,0.0430134834075918
"ENSG00000188227","ENSG00000188227",-3.45816377178316,0.012770020701856
"ENSG00000196693","ENSG00000196693",-3.90471446775123,4.62779044438588e-06
"ENSG00000197063","ENSG00000197063",-1.8596547885588,0.0105636314504262
"ENSG00000197608","ENSG00000197608",1.97691337020234,0.0295823522287029
"ENSG00000197928","ENSG00000197928",2.89245070362056,0.00562449373114373
"ENSG00000198131","ENSG00000198131",3.13916372689623,0.00416959684562117
"ENSG00000204103","ENSG00000204103",-5.9634108105509,6.3233716953993e-40
"ENSG00000204531","ENSG00000204531",-3.65674298037941,0.033077900120674
"ENSG00000204779","ENSG00000204779",-6.13923845613977,0.0488595399282539
"ENSG00000212993","ENSG00000212993",-6.91708153936146,0.047367843855922
"ENSG00000213928","ENSG00000213928",-1.80108604063209,0.0366242789072111
"ENSG00000215397","ENSG00000215397",-7.16096107422902,0.0241196414589127
"ENSG00000234284","ENSG00000234284",3.37894354160967,0.0339619474118601
"ENSG00000260596","ENSG00000260596",-7.84658938247617,0.00433688797706272
"ENSG00000270106","ENSG00000270106",-4.47907786263399,0.0405854736480183
"ENSG00000276644","ENSG00000276644",-7.67130359416513,0.000267993783415888
