"","Gene_name","log2FoldChange","padj"
"ENSG00000001461","ENSG00000001461",3.07495163723073,1.55087075215575e-05
"ENSG00000001561","ENSG00000001561",3.00482973688595,1.35758844764802e-05
"ENSG00000001630","ENSG00000001630",1.9902153360657,0.00847735641613857
"ENSG00000002587","ENSG00000002587",-8.66187026836676,1.30456996940344e-06
"ENSG00000002933","ENSG00000002933",-1.717696540042,0.0399178235146804
"ENSG00000004468","ENSG00000004468",-5.46661469036813,0.000133180350894848
"ENSG00000004799","ENSG00000004799",-3.85219269913606,1.61731858112768e-08
"ENSG00000005100","ENSG00000005100",1.94301273825553,0.0424626618410496
"ENSG00000005884","ENSG00000005884",5.34448378300611,4.6878308192792e-16
"ENSG00000006831","ENSG00000006831",3.01129131020556,1.16620059015144e-05
"ENSG00000007129","ENSG00000007129",4.93397278026638,0.00264932443611257
"ENSG00000007174","ENSG00000007174",-7.78925358650324,0.0274819173835303
"ENSG00000007237","ENSG00000007237",-1.7899566944006,0.0141222424575117
"ENSG00000007944","ENSG00000007944",-2.81119275635614,1.40766632310752e-05
"ENSG00000008516","ENSG00000008516",-2.96865208148631,0.00600319566621719
"ENSG00000008735","ENSG00000008735",-6.95652303697726,0.0299428500790816
"ENSG00000008853","ENSG00000008853",4.0344657851338,0.017776133469972
"ENSG00000013392","ENSG00000013392",3.11539026668118,0.01651427261168
"ENSG00000014138","ENSG00000014138",2.40030200053542,0.00789780290176074
"ENSG00000014824","ENSG00000014824",1.85858074757721,0.0394208416345805
"ENSG00000015153","ENSG00000015153",-2.59756116128397,0.00650133718721504
"ENSG00000015475","ENSG00000015475",-1.9619530546724,0.0114973372848507
"ENSG00000015479","ENSG00000015479",-1.65684274825883,0.0144797333142117
"ENSG00000015532","ENSG00000015532",2.36334615638103,0.0342108141530614
"ENSG00000017260","ENSG00000017260",1.91137249072962,0.00146335322578008
"ENSG00000018189","ENSG00000018189",-1.86821656771384,0.00771193631571768
"ENSG00000018510","ENSG00000018510",2.02238165069209,0.0026377071883057
"ENSG00000019169","ENSG00000019169",3.57475600133127,0.00780163963553595
"ENSG00000020633","ENSG00000020633",-2.62803795733449,2.07150913707297e-07
"ENSG00000023445","ENSG00000023445",-3.71499624564508,9.49218754585923e-05
"ENSG00000023839","ENSG00000023839",-4.8528353127901,0.00584796717411312
"ENSG00000025293","ENSG00000025293",-1.85211160858192,0.0237996840241875
