"","Gene_name","log2FoldChange","padj"
"ENSG00000066336","ENSG00000066336",-1.68896849303893,0.00792401207502234
"ENSG00000069011","ENSG00000069011",-6.54295404906944,0.00588501803763279
"ENSG00000069812","ENSG00000069812",-3.38435252309405,0.0300704465635222
"ENSG00000081692","ENSG00000081692",2.76039475939083,0.0205272227784004
"ENSG00000087510","ENSG00000087510",7.20261389634351,0.00326082900537015
"ENSG00000087903","ENSG00000087903",-3.87134541174854,0.000400760569925785
"ENSG00000089335","ENSG00000089335",2.59284813440897,0.0248477301226909
"ENSG00000102349","ENSG00000102349",-3.15602157831907,0.000387822150234347
"ENSG00000105967","ENSG00000105967",2.32708293216005,0.000121662952644889
"ENSG00000108813","ENSG00000108813",-6.04577557233145,0.0360311375594255
"ENSG00000113387","ENSG00000113387",-1.7649561503444,0.0140583979059542
"ENSG00000113648","ENSG00000113648",-1.87664911910779,0.000543098792154864
"ENSG00000115844","ENSG00000115844",-7.2461026157827,0.0293185806658144
"ENSG00000116132","ENSG00000116132",-7.3623395157432,0.0332533530895122
"ENSG00000119138","ENSG00000119138",-2.21671226858956,0.000738994278073253
"ENSG00000119508","ENSG00000119508",-3.92031482878047,5.71632006478679e-07
"ENSG00000119608","ENSG00000119608",-6.74554869076323,0.0208575820852532
"ENSG00000119866","ENSG00000119866",-1.95727142388426,0.0183511304954631
"ENSG00000123405","ENSG00000123405",-5.85957077028938,2.19370965255304e-09
"ENSG00000124813","ENSG00000124813",-2.7696424462217,0.0291433451642151
"ENSG00000124920","ENSG00000124920",-5.31448309697739,3.81547815661248e-05
"ENSG00000125618","ENSG00000125618",2.66600808343564,0.043081096133246
"ENSG00000125846","ENSG00000125846",3.33645589787889,0.0178763930561853
"ENSG00000125945","ENSG00000125945",2.20424995205054,0.0472524649681242
"ENSG00000126603","ENSG00000126603",-6.54490131286925,0.0048816103542443
"ENSG00000130940","ENSG00000130940",-2.85974632710424,0.000917868991315329
"ENSG00000133794","ENSG00000133794",-2.43591423701412,0.0105525946267769
"ENSG00000134107","ENSG00000134107",-4.00308180943519,3.80413379158469e-14
"ENSG00000134317","ENSG00000134317",-3.74970776270401,0.00566720180360782
"ENSG00000134852","ENSG00000134852",2.43218305425935,0.0129616942957402
"ENSG00000136603","ENSG00000136603",-2.14353374177579,0.00735539818989207
"ENSG00000136807","ENSG00000136807",-2.07890757337341,0.00354398499551149
