"","Gene_name","log2FoldChange","padj"
"ENSG00000000938","ENSG00000000938",-3.73433842690006,5.80693287918982e-21
"ENSG00000001617","ENSG00000001617",-9.26976335768235,0.00312886853848529
"ENSG00000004399","ENSG00000004399",1.79550425889442,0.015036900076857
"ENSG00000005379","ENSG00000005379",-5.72544549334865,3.81002786476456e-17
"ENSG00000005844","ENSG00000005844",-2.33075832872627,7.10317106640336e-07
"ENSG00000006283","ENSG00000006283",-7.92217197968936,0.000444560341572698
"ENSG00000006638","ENSG00000006638",-3.16932727301139,0.0254694538498399
"ENSG00000006744","ENSG00000006744",1.7298950454272,0.0304590927125981
"ENSG00000008118","ENSG00000008118",-7.57896215011537,0.00465315690380981
"ENSG00000008300","ENSG00000008300",-3.33440597010513,0.0409937802137786
"ENSG00000010295","ENSG00000010295",1.82406079144574,0.036442003810498
"ENSG00000010310","ENSG00000010310",-4.55192223095935,0.0236590714861935
"ENSG00000010610","ENSG00000010610",1.80302231863119,0.0281531791443871
"ENSG00000010704","ENSG00000010704",3.61925347260642,1.32347382863164e-09
"ENSG00000010810","ENSG00000010810",-3.48938616965413,1.93577326588678e-05
"ENSG00000011198","ENSG00000011198",-2.05620758298862,0.0237118311555009
"ENSG00000012171","ENSG00000012171",-8.28169175141189,0.00125101465519489
"ENSG00000012779","ENSG00000012779",-4.61253578710058,1.23920038974039e-13
"ENSG00000013561","ENSG00000013561",1.89928349992864,0.0296677592830315
"ENSG00000014914","ENSG00000014914",-5.35466448068946,9.83862017469668e-08
"ENSG00000018280","ENSG00000018280",-2.22588596594333,0.0052124300751277
"ENSG00000019991","ENSG00000019991",2.95557821507693,0.00679608558818667
"ENSG00000020577","ENSG00000020577",2.59113981490863,0.00341825562231602
"ENSG00000026103","ENSG00000026103",-1.99428410909971,0.036170567819375
"ENSG00000029725","ENSG00000029725",1.83168350333512,0.0481322613428507
"ENSG00000030582","ENSG00000030582",1.83504576221197,0.0262667288728219
"ENSG00000034152","ENSG00000034152",-2.34425915822179,0.0109938812096556
"ENSG00000038427","ENSG00000038427",-5.3896051902855,3.73176854893858e-25
"ENSG00000047230","ENSG00000047230",2.49474919635166,0.0210432283334205
"ENSG00000049089","ENSG00000049089",-2.5757840431625,0.0173089268763022
"ENSG00000049130","ENSG00000049130",4.63978598495499,3.93464929404854e-06
"ENSG00000049246","ENSG00000049246",2.74383871641496,3.61339242397955e-05
