Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR16816545.1	64.39906718923336	49.0	151.0	27.27272727272727	36574765.0
SRR16816545.2	59.784591609892686	48.0	151.0	27.27272727272727	36574765.0
SRR16816546.1	64.19714771226153	52.0	151.0	36.36363636363637	17109196.0
SRR16816546.2	64.59674428934841	51.0	151.0	36.36363636363637	17109196.0
SRR16816547.1	67.18144639958902	51.0	151.0	36.36363636363637	37883625.0
SRR16816547.2	65.57825156331279	49.0	151.0	36.36363636363637	37883625.0
SRR16816548.1	70.67337245395598	54.0	151.0	36.36363636363637	19301123.0
SRR16816548.2	70.08211687870634	52.0	151.0	45.45454545454545	19301123.0
SRR16816549.1	75.0783199462062	53.0	151.0	36.36363636363637	30322630.0
SRR16816549.2	74.4521971495416	51.0	151.0	36.36363636363637	30322630.0
SRR16816550.1	72.2541177814301	51.0	151.0	27.27272727272727	24466265.0
SRR16816550.2	70.1073230058102	50.0	151.0	36.36363636363637	24466265.0
SRR16816551.1	75.2239490279239	54.0	151.0	27.27272727272727	23073548.0
SRR16816551.2	73.3228262799222	52.0	151.0	36.36363636363637	23073548.0
SRR16816552.1	73.20168894970719	54.0	151.0	36.36363636363637	24372010.0
SRR16816552.2	73.05771867198825	53.0	151.0	36.36363636363637	24372010.0
SRR16816553.1	75.83776654316415	54.0	151.0	36.36363636363637	23373075.0
SRR16816553.2	75.14541387292341	52.0	151.0	36.36363636363637	23373075.0
