Module	Section	Sample Name	Source
FastQC	all_sections	SRR16816545.1	/mnt/c/Users/Matthew/Documents/Matthew_Masters/Work/FastQC/SRR16816545.1_fastqc.zip
FastQC	all_sections	SRR16816545.2	/mnt/c/Users/Matthew/Documents/Matthew_Masters/Work/FastQC/SRR16816545.2_fastqc.zip
FastQC	all_sections	SRR16816546.1	/mnt/c/Users/Matthew/Documents/Matthew_Masters/Work/FastQC/SRR16816546.1_fastqc.zip
FastQC	all_sections	SRR16816546.2	/mnt/c/Users/Matthew/Documents/Matthew_Masters/Work/FastQC/SRR16816546.2_fastqc.zip
FastQC	all_sections	SRR16816547.1	/mnt/c/Users/Matthew/Documents/Matthew_Masters/Work/FastQC/SRR16816547.1_fastqc.zip
FastQC	all_sections	SRR16816547.2	/mnt/c/Users/Matthew/Documents/Matthew_Masters/Work/FastQC/SRR16816547.2_fastqc.zip
FastQC	all_sections	SRR16816548.1	/mnt/c/Users/Matthew/Documents/Matthew_Masters/Work/FastQC/SRR16816548.1_fastqc.zip
FastQC	all_sections	SRR16816548.2	/mnt/c/Users/Matthew/Documents/Matthew_Masters/Work/FastQC/SRR16816548.2_fastqc.zip
FastQC	all_sections	SRR16816549.1	/mnt/c/Users/Matthew/Documents/Matthew_Masters/Work/FastQC/SRR16816549.1_fastqc.zip
FastQC	all_sections	SRR16816549.2	/mnt/c/Users/Matthew/Documents/Matthew_Masters/Work/FastQC/SRR16816549.2_fastqc.zip
FastQC	all_sections	SRR16816550.1	/mnt/c/Users/Matthew/Documents/Matthew_Masters/Work/FastQC/SRR16816550.1_fastqc.zip
FastQC	all_sections	SRR16816550.2	/mnt/c/Users/Matthew/Documents/Matthew_Masters/Work/FastQC/SRR16816550.2_fastqc.zip
FastQC	all_sections	SRR16816551.1	/mnt/c/Users/Matthew/Documents/Matthew_Masters/Work/FastQC/SRR16816551.1_fastqc.zip
FastQC	all_sections	SRR16816551.2	/mnt/c/Users/Matthew/Documents/Matthew_Masters/Work/FastQC/SRR16816551.2_fastqc.zip
FastQC	all_sections	SRR16816552.1	/mnt/c/Users/Matthew/Documents/Matthew_Masters/Work/FastQC/SRR16816552.1_fastqc.zip
FastQC	all_sections	SRR16816552.2	/mnt/c/Users/Matthew/Documents/Matthew_Masters/Work/FastQC/SRR16816552.2_fastqc.zip
FastQC	all_sections	SRR16816553.1	/mnt/c/Users/Matthew/Documents/Matthew_Masters/Work/FastQC/SRR16816553.1_fastqc.zip
FastQC	all_sections	SRR16816553.2	/mnt/c/Users/Matthew/Documents/Matthew_Masters/Work/FastQC/SRR16816553.2_fastqc.zip
