"","Gene_name","Treatment","L2FC","Status"
"1","MECP2","GMCSF",-2.85721767392387,NA
"2","REL","GMCSF",-3.34008233477808,NA
"3","NCF1","GMCSF",-3.1754360876593,NA
"4","NFIA","GMCSF",NA,NA
"5","MNDA","GMCSF",1.8532283357703,NA
"6","IRF2","GMCSF",2.63964478562216,NA
"7","NFATC1","GMCSF",-1.79238971156297,NA
"8","CEBPB","GMCSF",-2.34860806985127,NA
"9","BCL6","GMCSF",-2.27083314581964,NA
"10","CENPV","GMCSF",NA,NA
"11","CSF3R","GMCSF",-3.31479985110309,NA
"12","TET2","GMCSF",-1.88195618424067,NA
"13","RUNX1T1","GMCSF",-6.63960504186344,NA
"14","CD14","GMCSF",NA,NA
"15","DNMT3A","GMCSF",2.21845216093524,NA
"16","EP300","GMCSF",-2.67341314313301,NA
"17","FCGR1A","GMCSF",3.24702193367712,NA
"18","FLT3","GMCSF",-3.42969124307833,NA
"19","MITF","GMCSF",3.81421956443088,NA
"20","IRF1","GMCSF",-5.46436785757361,NA
"21","FOS","GMCSF",-6.51905558744228,NA
"22","ITGAM","GMCSF",2.07773721210103,NA
"23","RARA","GMCSF",-1.84026205438918,NA
"24","CSF1R","GMCSF",2.52649195612616,NA
"25","JUN","GMCSF",-3.40033201645005,NA
"26","RUNX1","GMCSF",NA,1
"27","SPI1","GMCSF",NA,1
"28","MECP2","MCSF",-2.66549982771094,NA
"29","REL","MCSF",-3.16271581795353,NA
"30","NCF1","MCSF",NA,NA
"31","NFIA","MCSF",2.34971396457092,NA
"32","MNDA","MCSF",NA,NA
"33","IRF2","MCSF",3.64799774428471,NA
"34","NFATC1","MCSF",NA,NA
"35","CEBPB","MCSF",-4.44478159095726,NA
"36","BCL6","MCSF",-4.12891169297428,NA
"37","CENPV","MCSF",-5.09146587715126,NA
"38","CSF3R","MCSF",-3.09908342150763,NA
"39","TET2","MCSF",-1.84940070936152,NA
"40","RUNX1T1","MCSF",-7.74737343258943,NA
"41","CD14","MCSF",2.27471113625763,NA
"42","DNMT3A","MCSF",2.18383428630917,NA
"43","EP300","MCSF",-2.32940098855936,NA
"44","FCGR1A","MCSF",2.0979168674166,NA
"45","FLT3","MCSF",-4.04549424485584,NA
"46","MITF","MCSF",3.31082905333783,NA
"47","IRF1","MCSF",-4.31319180006724,NA
"48","FOS","MCSF",-6.72876916453656,NA
"49","ITGAM","MCSF",NA,NA
"50","RARA","MCSF",-3.50813726986634,NA
"51","CSF1R","MCSF",4.32014975195893,NA
"52","JUN","MCSF",-4.31398504573181,NA
"53","RUNX1","MCSF",-2.74228461280697,1
"54","SPI1","MCSF",-1.68896849303893,1
"55","CREBBP","GMCSF",-2.34068580287245,NA
"56","KAT6A","GMCSF",-2.18180055416962,NA
"57","RUNX2","GMCSF",NA,NA
"58","FOXO3","GMCSF",-3.2481473339181,NA
"59","SRC","GMCSF",-1.78440131296741,NA
"60","HIF1A","GMCSF",-5.17379398213641,NA
"61","RUNX3","GMCSF",-2.62803795733449,NA
"62","ETV6","GMCSF",-1.5823086483011,NA
"63","CREBBP","MCSF",-1.96884135635348,NA
"64","KAT6A","MCSF",NA,NA
"65","RUNX2","MCSF",-2.7696424462217,NA
"66","FOXO3","MCSF",-2.34070637564681,NA
"67","SRC","MCSF",-2.9039645789364,NA
"68","HIF1A","MCSF",-3.76233060866629,NA
"69","RUNX3","MCSF",NA,NA
"70","ETV6","MCSF",NA,NA
"71","TFAP2C","GMCSF",NA,NA
"72","CCND1","GMCSF",5.82764584987713,NA
"73","CDK4","GMCSF",2.86300916241793,NA
"74","TP53","GMCSF",2.27025050994389,NA
"75","SKP2","GMCSF",NA,NA
"76","SMAD3","GMCSF",-7.77571249946792,NA
"77","E2F1","GMCSF",3.58644844674369,NA
"78","KDM5B","GMCSF",-2.01105396080582,NA
