#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ARNTL	CRY1	9606.ENSP00000384517	9606.ENSP00000008527	0	0	0	0	0.116	0.982	0.900	0.998	0.999
ARNTL	SIRT1	9606.ENSP00000384517	9606.ENSP00000212015	0	0	0	0	0.049	0.345	0.750	0.987	0.997
ARNTL	DBP	9606.ENSP00000384517	9606.ENSP00000222122	0	0	0	0	0	0.288	0.500	0.716	0.890
ARNTL	NAMPT	9606.ENSP00000384517	9606.ENSP00000222553	0	0	0	0	0.067	0	0.500	0.805	0.901
ARNTL	BHLHE41	9606.ENSP00000384517	9606.ENSP00000242728	0	0	0	0	0	0.089	0.500	0.978	0.989
ARNTL	NR1D1	9606.ENSP00000384517	9606.ENSP00000246672	0	0	0	0	0.049	0	0.500	0.979	0.989
ARNTL	PER2	9606.ENSP00000384517	9606.ENSP00000254657	0	0	0	0.575	0	0.963	0.900	0.482	0.997
ARNTL	BHLHE40	9606.ENSP00000384517	9606.ENSP00000256495	0	0	0	0	0.058	0.232	0.500	0.964	0.985
ARNTL	RORA	9606.ENSP00000384517	9606.ENSP00000261523	0	0	0	0	0.084	0.113	0.500	0.919	0.962
ARNTL	CREBBP	9606.ENSP00000384517	9606.ENSP00000262367	0	0	0	0	0.060	0.544	0	0.965	0.983
ARNTL	EP300	9606.ENSP00000384517	9606.ENSP00000263253	0	0	0	0	0.058	0.329	0.500	0.962	0.986
ARNTL	PPARGC1A	9606.ENSP00000384517	9606.ENSP00000264867	0	0	0	0	0	0	0.500	0.587	0.785
ARNTL	ARNTL2	9606.ENSP00000384517	9606.ENSP00000266503	0	0	0.062	0.930	0.042	0.777	0.540	0.455	0.940
ARNTL	NOCT	9606.ENSP00000384517	9606.ENSP00000280614	0	0	0	0	0	0	0.500	0.688	0.837
ARNTL	NFIL3	9606.ENSP00000384517	9606.ENSP00000297689	0	0	0	0	0.108	0.071	0	0.945	0.951
ARNTL	NR1D2	9606.ENSP00000384517	9606.ENSP00000310006	0	0	0	0	0.092	0.183	0	0.950	0.959
ARNTL	PER1	9606.ENSP00000384517	9606.ENSP00000314420	0	0	0	0.569	0.044	0.954	0.500	0.403	0.985
ARNTL	EZH2	9606.ENSP00000384517	9606.ENSP00000320147	0	0	0	0	0	0.095	0	0.905	0.910
ARNTL	RORC	9606.ENSP00000384517	9606.ENSP00000327025	0	0	0	0	0	0.534	0	0.820	0.912
ARNTL	SIRT6	9606.ENSP00000384517	9606.ENSP00000337332	0	0	0	0	0	0.068	0	0.869	0.872
ARNTL	NPAS2	9606.ENSP00000384517	9606.ENSP00000338283	0	0	0	0.640	0.110	0.919	0.800	0.991	0.999
ARNTL	FBXL3	9606.ENSP00000384517	9606.ENSP00000347834	0	0	0	0	0.113	0	0.500	0.836	0.921
ARNTL	WDR5	9606.ENSP00000384517	9606.ENSP00000351446	0	0	0	0	0	0.497	0	0.685	0.835
ARNTL	CIPC	9606.ENSP00000384517	9606.ENSP00000355319	0	0	0	0	0.049	0.639	0	0.379	0.768
ARNTL	BTRC	9606.ENSP00000384517	9606.ENSP00000359206	0	0	0	0	0.049	0	0.500	0.638	0.813
ARNTL	RORB	9606.ENSP00000384517	9606.ENSP00000366093	0	0	0	0	0	0.113	0	0.924	0.930
ARNTL	CSNK1E	9606.ENSP00000384517	9606.ENSP00000380044	0	0	0	0	0	0.696	0.900	0.927	0.997
ARNTL	CSNK1D	9606.ENSP00000384517	9606.ENSP00000381531	0	0	0	0	0.056	0.176	0.900	0.719	0.975
ARNTL	KDM5A	9606.ENSP00000384517	9606.ENSP00000382688	0	0	0	0	0.067	0	0	0.982	0.982
ARNTL	KDM1A	9606.ENSP00000384517	9606.ENSP00000383042	0	0	0	0	0	0.137	0	0.880	0.892
ARNTL	TPTEP2-CSNK1E	9606.ENSP00000384517	9606.ENSP00000383067	0	0	0	0	0	0.289	0	0.760	0.822
ARNTL	RXRA	9606.ENSP00000384517	9606.ENSP00000419692	0	0	0	0	0.044	0.396	0	0.648	0.779
ARNTL	PPARA	9606.ENSP00000384517	9606.ENSP00000385523	0	0	0	0	0	0.183	0.500	0.695	0.864
ARNTL	TIMELESS	9606.ENSP00000384517	9606.ENSP00000450607	0	0	0	0	0	0.129	0	0.897	0.906
ARNTL	PER3	9606.ENSP00000384517	9606.ENSP00000482093	0	0	0	0.575	0.049	0.954	0	0.600	0.980
ARNTL	CLOCK	9606.ENSP00000384517	9606.ENSP00000426983	0	0	0	0.645	0.117	0.994	0.800	0.991	0.999
ARNTL	CRY2	9606.ENSP00000384517	9606.ENSP00000478187	0	0	0	0	0.091	0.973	0.900	0.983	0.999
ARNTL2	CRY1	9606.ENSP00000266503	9606.ENSP00000008527	0	0	0	0	0.086	0.397	0	0.773	0.864
ARNTL2	SERPINE1	9606.ENSP00000266503	9606.ENSP00000223095	0	0	0	0	0.063	0	0.750	0.246	0.807
ARNTL2	PER2	9606.ENSP00000266503	9606.ENSP00000254657	0	0	0	0.585	0	0.382	0	0.607	0.747
