#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ARNTL	CRY1	9606.ENSP00000384517	9606.ENSP00000008527	0	0	0	0	0.116	0.982	0.900	0.998	0.999
ARNTL	BHLHE41	9606.ENSP00000384517	9606.ENSP00000242728	0	0	0	0	0	0.089	0.500	0.978	0.989
ARNTL	PER2	9606.ENSP00000384517	9606.ENSP00000254657	0	0	0	0.575	0	0.963	0.900	0.482	0.997
ARNTL	BHLHE40	9606.ENSP00000384517	9606.ENSP00000256495	0	0	0	0	0.058	0.232	0.500	0.964	0.985
ARNTL	TEF	9606.ENSP00000384517	9606.ENSP00000266304	0	0	0	0	0.049	0.071	0	0.736	0.747
ARNTL	NCOR1	9606.ENSP00000384517	9606.ENSP00000268712	0	0	0	0	0.044	0.046	0.500	0.463	0.722
ARNTL	NFIL3	9606.ENSP00000384517	9606.ENSP00000297689	0	0	0	0	0.108	0.071	0	0.945	0.951
ARNTL	NR1D2	9606.ENSP00000384517	9606.ENSP00000310006	0	0	0	0	0.092	0.183	0	0.950	0.959
ARNTL	PER1	9606.ENSP00000384517	9606.ENSP00000314420	0	0	0	0.569	0.044	0.954	0.500	0.403	0.985
ARNTL	NPAS2	9606.ENSP00000384517	9606.ENSP00000338283	0	0	0	0.640	0.110	0.919	0.800	0.991	0.999
ARNTL	CSNK1E	9606.ENSP00000384517	9606.ENSP00000380044	0	0	0	0	0	0.696	0.900	0.927	0.997
ARNTL	TIMELESS	9606.ENSP00000384517	9606.ENSP00000450607	0	0	0	0	0	0.129	0	0.897	0.906
ARNTL	PER3	9606.ENSP00000384517	9606.ENSP00000482093	0	0	0	0.575	0.049	0.954	0	0.600	0.980
ARNTL	CLOCK	9606.ENSP00000384517	9606.ENSP00000426983	0	0	0	0.645	0.117	0.994	0.800	0.991	0.999
ARNTL	CRY2	9606.ENSP00000384517	9606.ENSP00000478187	0	0	0	0	0.091	0.973	0.900	0.983	0.999
BHLHE40	CRY1	9606.ENSP00000256495	9606.ENSP00000008527	0	0	0	0	0.085	0.289	0	0.956	0.969
BHLHE40	BHLHE41	9606.ENSP00000256495	9606.ENSP00000242728	0	0	0	0.832	0.116	0.449	0.900	0.475	0.971
BHLHE40	PER2	9606.ENSP00000256495	9606.ENSP00000254657	0	0	0	0	0.125	0.276	0	0.935	0.955
BHLHE40	TIMELESS	9606.ENSP00000256495	9606.ENSP00000450607	0	0	0	0	0	0	0	0.708	0.708
BHLHE40	CSNK1E	9606.ENSP00000256495	9606.ENSP00000380044	0	0	0	0	0.056	0.231	0	0.830	0.865
BHLHE40	CRY2	9606.ENSP00000256495	9606.ENSP00000478187	0	0	0	0	0.076	0.296	0	0.833	0.882
BHLHE40	NR1D2	9606.ENSP00000256495	9606.ENSP00000310006	0	0	0	0	0.111	0.186	0	0.889	0.913
BHLHE40	PER3	9606.ENSP00000256495	9606.ENSP00000482093	0	0	0	0	0.106	0.141	0	0.917	0.930
BHLHE40	NFIL3	9606.ENSP00000256495	9606.ENSP00000297689	0	0	0	0	0.105	0.340	0	0.901	0.936
BHLHE40	CLOCK	9606.ENSP00000256495	9606.ENSP00000426983	0	0	0	0	0	0.279	0.500	0.844	0.939
BHLHE40	NPAS2	9606.ENSP00000256495	9606.ENSP00000338283	0	0	0	0	0.042	0.363	0.500	0.920	0.972
BHLHE40	ARNTL	9606.ENSP00000256495	9606.ENSP00000384517	0	0	0	0	0.058	0.232	0.500	0.964	0.985
BHLHE41	CRY1	9606.ENSP00000242728	9606.ENSP00000008527	0	0	0	0	0	0.521	0	0.957	0.978
BHLHE41	PER1	9606.ENSP00000242728	9606.ENSP00000314420	0	0	0	0	0	0.457	0	0.504	0.719
BHLHE41	TIMELESS	9606.ENSP00000242728	9606.ENSP00000450607	0	0	0	0	0	0	0	0.744	0.744
BHLHE41	CSNK1E	9606.ENSP00000242728	9606.ENSP00000380044	0	0	0	0	0	0.413	0	0.800	0.878
BHLHE41	NR1D2	9606.ENSP00000242728	9606.ENSP00000310006	0	0	0	0	0.062	0.045	0	0.918	0.920
BHLHE41	CRY2	9606.ENSP00000242728	9606.ENSP00000478187	0	0	0	0	0	0.418	0	0.915	0.948
