#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACOX3	PPARD	9606.ENSP00000348775	9606.ENSP00000310928	0	0	0	0	0.049	0	0	0.712	0.715
ACOX3	PPARA	9606.ENSP00000348775	9606.ENSP00000385523	0	0	0	0	0.043	0	0	0.820	0.821
CD36	FABP4	9606.ENSP00000415743	9606.ENSP00000256104	0	0	0	0	0.521	0	0.500	0.881	0.969
CD36	PPARGC1A	9606.ENSP00000415743	9606.ENSP00000264867	0	0	0	0	0.059	0	0.500	0.693	0.843
CD36	PPARG	9606.ENSP00000415743	9606.ENSP00000287820	0	0	0	0	0.164	0	0.500	0.873	0.942
CD36	FABP5	9606.ENSP00000415743	9606.ENSP00000297258	0	0	0	0	0.140	0	0	0.744	0.770
CD36	PPARD	9606.ENSP00000415743	9606.ENSP00000310928	0	0	0	0	0	0	0	0.787	0.787
CD36	SLC2A4	9606.ENSP00000415743	9606.ENSP00000320935	0	0	0	0	0.054	0	0	0.715	0.719
CD36	INS	9606.ENSP00000415743	9606.ENSP00000380432	0	0	0	0	0	0	0	0.741	0.741
CD36	PPARA	9606.ENSP00000415743	9606.ENSP00000385523	0	0	0	0	0.074	0	0.500	0.905	0.952
CPT1B	PDK4	9606.ENSP00000379011	9606.ENSP00000005178	0	0	0	0	0.100	0	0	0.707	0.725
CPT1B	UCP1	9606.ENSP00000379011	9606.ENSP00000262999	0	0	0	0	0.105	0	0	0.727	0.745
CPT1B	PPARGC1A	9606.ENSP00000379011	9606.ENSP00000264867	0	0	0	0	0.067	0	0	0.721	0.729
CPT1B	PPARD	9606.ENSP00000379011	9606.ENSP00000310928	0	0	0	0	0.047	0.045	0	0.756	0.759
CPT1B	UCP3	9606.ENSP00000379011	9606.ENSP00000323740	0	0	0	0	0.124	0	0	0.842	0.856
CPT1B	KLF5	9606.ENSP00000379011	9606.ENSP00000366915	0	0	0	0	0	0	0	0.713	0.713
CPT1B	CPT1C	9606.ENSP00000379011	9606.ENSP00000376303	0	0	0.066	0.949	0	0	0.900	0.076	0.906
CPT1B	PPARA	9606.ENSP00000379011	9606.ENSP00000385523	0	0	0	0	0.047	0.045	0	0.721	0.724
CPT1B	UCP2	9606.ENSP00000379011	9606.ENSP00000499695	0	0	0	0	0.058	0	0	0.736	0.741
CPT1C	PPARD	9606.ENSP00000376303	9606.ENSP00000310928	0	0	0	0	0.049	0.045	0	0.733	0.737
CPT1C	UCP3	9606.ENSP00000376303	9606.ENSP00000323740	0	0	0	0	0.055	0	0	0.807	0.810
CPT1C	UCP2	9606.ENSP00000376303	9606.ENSP00000499695	0	0	0	0	0.055	0	0	0.716	0.720
CPT1C	CPT1B	9606.ENSP00000376303	9606.ENSP00000379011	0	0	0.066	0.949	0	0	0.900	0.076	0.906
CRABP2	RARS1	9606.ENSP00000482841	9606.ENSP00000231572	0	0	0	0	0.044	0	0	0.741	0.742
CRABP2	PPARD	9606.ENSP00000482841	9606.ENSP00000310928	0	0	0	0	0	0.050	0	0.728	0.730
CRABP2	RXRA	9606.ENSP00000482841	9606.ENSP00000419692	0	0	0	0	0.059	0.050	0.500	0.647	0.821
FABP4	INS	9606.ENSP00000256104	9606.ENSP00000380432	0	0	0	0	0.071	0	0	0.730	0.739
FABP4	UCP1	9606.ENSP00000256104	9606.ENSP00000262999	0	0	0	0	0.056	0	0	0.749	0.753
FABP4	PPARD	9606.ENSP00000256104	9606.ENSP00000310928	0	0	0	0	0	0.050	0	0.751	0.753
FABP4	FABP5	9606.ENSP00000256104	9606.ENSP00000297258	0	0	0.067	0.944	0.084	0	0.500	0.496	0.756
FABP4	RXRA	9606.ENSP00000256104	9606.ENSP00000419692	0	0	0	0	0.054	0.050	0.500	0.585	0.789
FABP4	PPARA	9606.ENSP00000256104	9606.ENSP00000385523	0	0	0	0	0.055	0.050	0	0.790	0.795
FABP4	LEP	9606.ENSP00000256104	9606.ENSP00000312652	0	0	0	0	0.208	0	0	0.763	0.804
FABP4	PPARGC1A	9606.ENSP00000256104	9606.ENSP00000264867	0	0	0	0	0.056	0	0.500	0.646	0.818
FABP4	SCARB1	9606.ENSP00000256104	9606.ENSP00000261693	0	0	0	0	0.050	0	0	0.863	0.865
FABP4	SCARB2	9606.ENSP00000256104	9606.ENSP00000264896	0	0	0	0	0.050	0	0	0.864	0.866
FABP4	CD36	9606.ENSP00000256104	9606.ENSP00000415743	0	0	0	0	0.521	0	0.500	0.881	0.969
FABP4	PPARG	9606.ENSP00000256104	9606.ENSP00000287820	0	0	0	0	0.222	0.050	0.500	0.983	0.993
FABP5	FABP4	9606.ENSP00000297258	9606.ENSP00000256104	0	0	0.067	0.944	0.084	0	0.500	0.496	0.756
FABP5	SCARB1	9606.ENSP00000297258	9606.ENSP00000261693	0	0	0	0	0.060	0	0	0.737	0.742
FABP5	SCARB2	9606.ENSP00000297258	9606.ENSP00000264896	0	0	0	0	0.061	0	0	0.737	0.742
FABP5	PPARG	9606.ENSP00000297258	9606.ENSP00000287820	0	0	0	0	0.136	0.298	0	0.739	0.828
FABP5	PPARA	9606.ENSP00000297258	9606.ENSP00000385523	0	0	0	0	0.060	0.050	0	0.699	0.708
