#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABL1	CCND1	9606.ENSP00000361423	9606.ENSP00000227507	0	0	0	0	0.067	0	0.400	0.577	0.742
ABL1	CDK4	9606.ENSP00000361423	9606.ENSP00000257904	0	0	0	0.607	0.097	0.098	0.400	0.511	0.729
ABL1	MDM2	9606.ENSP00000361423	9606.ENSP00000258149	0	0	0	0	0	0.628	0	0.732	0.896
ABL1	CCND2	9606.ENSP00000361423	9606.ENSP00000261254	0	0	0	0	0	0.292	0.400	0.373	0.710
ABL1	RB1	9606.ENSP00000361423	9606.ENSP00000267163	0	0	0	0	0.049	0.736	0.900	0.312	0.980
ABL1	TP53	9606.ENSP00000361423	9606.ENSP00000269305	0	0	0	0	0.056	0.292	0	0.875	0.909
ABL1	RUNX2	9606.ENSP00000361423	9606.ENSP00000360493	0	0	0	0	0	0	0.750	0.322	0.823
ABL1	MYC	9606.ENSP00000361423	9606.ENSP00000478887	0	0	0	0	0.087	0.045	0	0.774	0.785
ABL1	CDKN1A	9606.ENSP00000361423	9606.ENSP00000384849	0	0	0	0	0.105	0.296	0.400	0.716	0.878
ABL1	BRCA1	9606.ENSP00000361423	9606.ENSP00000418960	0	0	0	0	0	0.483	0.500	0.847	0.956
AR	CCND1	9606.ENSP00000363822	9606.ENSP00000227507	0	0	0	0	0.072	0.738	0	0.831	0.955
AR	MDM2	9606.ENSP00000363822	9606.ENSP00000258149	0	0	0	0	0	0.920	0	0.979	0.998
AR	RB1	9606.ENSP00000363822	9606.ENSP00000267163	0	0	0	0	0	0.629	0.500	0.397	0.878
AR	TP53	9606.ENSP00000363822	9606.ENSP00000269305	0	0	0	0	0	0.439	0	0.838	0.905
AR	HDAC3	9606.ENSP00000363822	9606.ENSP00000302967	0	0	0	0	0	0.366	0.500	0.216	0.730
AR	EZH2	9606.ENSP00000363822	9606.ENSP00000320147	0	0	0	0	0.054	0.635	0	0.941	0.978
AR	SMARCA4	9606.ENSP00000363822	9606.ENSP00000343896	0	0	0	0	0	0.703	0	0.593	0.874
AR	E2F1	9606.ENSP00000363822	9606.ENSP00000345571	0	0	0	0	0	0.292	0	0.730	0.801
AR	RUNX2	9606.ENSP00000363822	9606.ENSP00000360493	0	0	0	0	0.056	0.071	0.700	0.602	0.881
AR	HDAC1	9606.ENSP00000363822	9606.ENSP00000362649	0	0	0	0	0	0.789	0	0.835	0.964
AR	MYC	9606.ENSP00000363822	9606.ENSP00000478887	0	0	0	0	0.053	0.045	0	0.695	0.700
AR	BRCA1	9606.ENSP00000363822	9606.ENSP00000418960	0	0	0	0	0	0.612	0	0.773	0.908
ARID4A	RBL2	9606.ENSP00000347602	9606.ENSP00000262133	0	0	0	0	0.143	0.827	0	0.068	0.849
ARID4A	RB1	9606.ENSP00000347602	9606.ENSP00000267163	0	0	0	0	0.095	0.952	0	0.680	0.984
ARID4A	KDM5A	9606.ENSP00000347602	9606.ENSP00000382688	0	0	0	0	0.159	0.094	0	0.742	0.786
ARID4A	RBL1	9606.ENSP00000347602	9606.ENSP00000362768	0	0	0	0	0.074	0.872	0	0.051	0.877
ARID4A	RBBP4	9606.ENSP00000347602	9606.ENSP00000362592	0	0	0	0	0.112	0.618	0.540	0.526	0.916
ARID4A	HDAC2	9606.ENSP00000347602	9606.ENSP00000430432	0	0	0	0	0.042	0.519	0.540	0.767	0.944
ARID4A	RBBP7	9606.ENSP00000347602	9606.ENSP00000369424	0	0	0	0	0.112	0.814	0.540	0.361	0.945
ARID4A	HDAC1	9606.ENSP00000347602	9606.ENSP00000362649	0	0	0	0	0	0.845	0.540	0.829	0.986
BRCA1	CCND1	9606.ENSP00000418960	9606.ENSP00000227507	0	0	0	0	0	0.510	0	0.848	0.922
BRCA1	CCNA1	9606.ENSP00000418960	9606.ENSP00000255465	0	0	0	0	0.103	0	0.500	0.548	0.779
BRCA1	CDK4	9606.ENSP00000418960	9606.ENSP00000257904	0	0	0	0	0.127	0.625	0.800	0.633	0.972
BRCA1	MDM2	9606.ENSP00000418960	9606.ENSP00000258149	0	0	0	0	0	0	0	0.794	0.794
