"","Gene_name","Treatment","L2FC","Status"
"1","NAMPT","GMCSF",-6.94451552541059,NA
"2","BHLHE41","GMCSF",8.53495617153601,NA
"3","NR1D1","GMCSF",-4.99134403019567,NA
"4","RARA","GMCSF",-1.84026205438918,NA
"5","PER2","GMCSF",-1.85321829143917,NA
"6","BHLHE40","GMCSF",NA,NA
"7","CREBBP","GMCSF",-2.34068580287245,NA
"8","EP300","GMCSF",-2.67341314313301,NA
"9","PPARGC1A","GMCSF",-7.60866858951385,NA
"10","NOCT","GMCSF",-6.06771948445993,NA
"11","NFIL3","GMCSF",-5.36676101452393,NA
"12","NR1D2","GMCSF",-3.31760532669948,1
"13","PER1","GMCSF",-4.75801492878831,NA
"14","RAI1","GMCSF",NA,NA
"15","BTRC","GMCSF",2.50841244095658,NA
"16","PER3","GMCSF",NA,NA
"17","TIMELESS","GMCSF",3.4076917381666,NA
"18","CRY2","GMCSF",-3.17162816150343,NA
"19","CLOCK","GMCSF",NA,1
"20","NAMPT","MCSF",-5.79657150916917,NA
"21","BHLHE41","MCSF",5.25344113100846,NA
"22","NR1D1","MCSF",-2.83878661333685,NA
"23","RARA","MCSF",-3.50813726986634,NA
"24","PER2","MCSF",-2.22364307756442,NA
"25","BHLHE40","MCSF",-4.00308180943519,NA
"26","CREBBP","MCSF",-1.96884135635348,NA
"27","EP300","MCSF",-2.32940098855936,NA
"28","PPARGC1A","MCSF",NA,NA
"29","NOCT","MCSF",-6.45024653111687,NA
"30","NFIL3","MCSF",-7.27003340793483,NA
"31","NR1D2","MCSF",NA,1
"32","PER1","MCSF",-5.80795472993787,NA
"33","RAI1","MCSF",-2.03315519677531,NA
"34","BTRC","MCSF",NA,NA
"35","PER3","MCSF",2.74383871641496,NA
"36","TIMELESS","MCSF",2.99503150858615,NA
"37","CRY2","MCSF",-2.52634796708435,NA
"38","CLOCK","MCSF",2.43218305425935,1
"39","CCND1","GMCSF",5.82764584987713,NA
"40","CCNA1","GMCSF",7.20648341326945,NA
"41","CDK4","GMCSF",2.86300916241793,NA
"42","CCND2","GMCSF",NA,NA
"43","CCNE1","GMCSF",3.80270713357663,NA
"44","MCM7","GMCSF",2.23973218492575,NA
"45","CDKN1A","GMCSF",-2.59283770301306,NA
"46","MYC","GMCSF",1.99718790135228,NA
"47","TP53","GMCSF",2.27025050994389,NA
"48","CCNE2","GMCSF",7.30851666024782,NA
"49","RUNX2","GMCSF",NA,NA
"50","ARID4A","GMCSF",-1.88417526896162,NA
"51","SKP2","GMCSF",NA,NA
"52","CDK1","GMCSF",4.9457131482172,NA
"53","CCNA2","GMCSF",6.6733197848127,NA
"54","E2F1","GMCSF",3.58644844674369,NA
"55","RB1","GMCSF",NA,1
"56","CCND1","MCSF",4.26807351478126,NA
"57","CCNA1","MCSF",NA,NA
"58","CDK4","MCSF",2.76864673766825,NA
"59","CCND2","MCSF",-5.51298499315638,NA
"60","CCNE1","MCSF",NA,NA
"61","MCM7","MCSF",NA,NA
"62","CDKN1A","MCSF",-4.01990576184431,NA
"63","MYC","MCSF",NA,NA
"64","TP53","MCSF",NA,NA
"65","CCNE2","MCSF",6.22920246987704,NA
"66","RUNX2","MCSF",-2.7696424462217,NA
"67","ARID4A","MCSF",-1.73440223828512,NA
"68","SKP2","MCSF",3.17065908058786,NA
"69","CDK1","MCSF",2.92976537561028,NA
"70","CCNA2","MCSF",4.76407458977442,NA
"71","E2F1","MCSF",NA,NA
"72","RB1","MCSF",4.10155959803732,1
"73","BCL3","GMCSF",-3.78532359918637,NA
"74","NFKBIA","GMCSF",-4.78054077493708,NA
"75","RELB","GMCSF",-3.6620901633212,NA
"76","CCL2","GMCSF",NA,NA
"77","PRKACB","GMCSF",3.24033448060264,NA
"78","IL1A","GMCSF",-3.87020040054863,NA
"79","TRAF6","GMCSF",-1.97533749553981,NA
"80","ESR1","GMCSF",3.76151796364762,NA
"81","CXCL1","GMCSF",-5.19794616973488,NA
"82","CTNNB1","GMCSF",-2.40586809009164,NA
"83","CXCL2","GMCSF",-4.44819443403061,NA
"84","IL18","GMCSF",NA,NA
"85","NLRP3","GMCSF",-4.99886632331991,NA
"86","TXN","GMCSF",2.62730915692221,NA
"87","CXCL8","GMCSF",-7.70992976562455,NA
"88","NFKBIZ","GMCSF",-3.57543236893283,NA
"89","TBK1","GMCSF",-2.97865149019929,NA
"90","IL6","GMCSF",NA,NA
"91","JUN","GMCSF",-3.40033201645005,NA
"92","NFKBIE","GMCSF",NA,NA
