"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0032496","GO:0032496","response to lipopolysaccharide","62/1387","283/15025",7.7280141432881e-11,4.26354540285204e-07,3.43611913065778e-07,"ABCC8/CPS1/TNFRSF1B/CASP8/FGFR2/PTGS2/EDN1/CXCL2/NFKBIA/SLC7A5/RIPK2/AKAP8/NFKB1/IL10RA/OPRM1/IL1A/TNFAIP3/NR4A1/PTGER2/IL1B/NR1D1/TICAM1/ZFP36/LOXL1/JUND/LILRB2/RARA/GCH1/IRAK2/EDNRB/IL10/CXCL9/BCL10/DUSP10/TNIP1/ADM/NOCT/PTGIR/NLRP3/MAPKAPK2/S100A9/CXCL1/ZC3H12A/NOD2/CXCL8/FOS/CEBPB/RELA/TRIB1/TRAF6/THBD/IRAK1/PDE4B/CNR2/NUGGC/CD55/ARID5A/SRC/PELI1/DIO2/LYN/SOD2",62
"GO:0001525","GO:0001525","angiogenesis","82/1387","465/15025",6.1889864838231e-09,8.72006181607897e-06,7.02775938698903e-06,"THSD7A/ABCC8/STAB1/CASP8/FGFR2/SP100/ROCK1/JMJD6/PTGS2/MCAM/EDN1/B4GALT1/SEMA6A/HMOX1/HIF1A/PPP1R16B/KLF5/ITGB8/HOXA5/FBXW7/MDK/VEGFA/IL1A/TNFAIP3/GNA13/HOXB3/PTK2B/CXCR4/CALD1/NR4A1/PTGIS/EREG/IL1B/ID1/KLF2/DLL4/SAT1/NINJ1/BTG1/AGT/VEZF1/IL10/KLF4/THBS1/ENPEP/CDH13/RHOB/MEIS1/COL8A1/PLK2/ADM/ADAM8/UBP1/ANGPT1/NODAL/PLXDC1/PROK2/ZC3H12A/HEY1/VSTM4/JCAD/MAPK7/CTNNB1/MECP2/CXCL8/S1PR1/LRG1/EIF2AK3/HPSE/JUN/EGR3/SETD2/EPGN/CCBE1/TNFAIP2/HGS/SEMA4A/EPHB4/C5AR1/DLL1/MAP3K3/ADGRG1",82
"GO:0043068","GO:0043068","positive regulation of programmed cell death","83/1387","473/15025",6.3223214182193e-09,8.72006181607897e-06,7.02775938698903e-06,"MARK4/BID/TNFRSF1B/BCLAF1/CASP8/CAMK2A/ING3/PTGS2/STK17B/CYLD/WNT11/B4GALT1/GADD45B/HMOX1/BMP7/RASSF2/BMF/RIPK2/GRIK5/HOXA5/NEURL1/FBXW7/ZBTB16/BCL6/SFPQ/FOXO3/TNFRSF8/IAPP/NR4A1/G0S2/PTGIS/ZBP1/CDKN1A/SOX4/BMP2/PLAGL2/ATF4/PRR7/BTG1/AGT/IL10/MTCH1/THBS1/PHLDA1/DUSP6/PMAIP1/SIK1/IL19/BCL10/MCL1/TP53BP2/RHOB/ADM/LATS2/FOXO1/ADAM8/BCL2L11/DEDD2/SQSTM1/ATF3/S100A9/ZC3H12A/STK17A/NKX3-1/CTNNB1/INPP5D/KLF11/DDIT3/PTPN2/FOSL1/JUN/PHLDA2/HCAR2/FZD9/LRRK2/SRC/HTT/QRICH1/DDX3X/FNIP1/PNMA2/LYN/SOD2",83
"GO:0030099","GO:0030099","myeloid cell differentiation","67/1387","360/15025",1.79382254716309e-08,1.55989671876491e-05,1.25716755675052e-05,"KMT2E/ARID4A/GAB2/CASP8/TGFBR3/JMJD6/CDC42/KAT6A/RCOR1/TF/EP300/BRD1/HIF1A/NFKBIA/RASSF2/KAT8/RELB/JAK3/ITGB8/HOXA5/FBXW7/ZBTB16/SH2B3/NEDD9/RHAG/VEGFA/BCL6/FOXO3/CSF3R/PTK2B/IAPP/THRA/KLF2/ZFP36/LIF/RARA/LBR/MEIS1/PIK3R1/LRRK1/KLF10/NBEAL2/TRIM58/SNRK/IL31RA/CTNNB1/TET2/INPP5D/GPR183/KLF13/FOS/JUNB/CEBPB/SP3/TRIB1/TRAF6/PTPN2/JUN/IRF7/ZFP36L1/EVI2B/SRC/DLL1/L3MBTL3/MAFB/MPIG6B/LYN",67
"GO:1903131","GO:1903131","mononuclear cell differentiation","75/1387","422/15025",1.97920555217589e-08,1.55989671876491e-05,1.25716755675052e-05,"TMEM176A/RUNX3/TNFRSF9/PRDM1/KLF6/BCL3/JMJD6/SMARCD3/IL12RB1/EP300/RIPK2/RELB/JAK3/ITGB8/LFNG/VSIR/ZBTB16/MDK/CD83/VEGFA/BCL6/IL1A/FOXO3/EGR1/PTK2B/FLT3/PREX1/SOX4/IRF1/IL1B/TNFSF9/DLL4/CRACR2A/LILRB2/PRR7/NFATC1/RARA/IL15RA/IL10/DUSP10/NFKBIZ/PIK3R1/ADAM8/CD1D/IKZF3/NLRP3/ZC3H12A/IL31RA/NFIL3/NFKBID/CTNNB1/IRF2BP2/INPP5D/GPR183/FOS/JUNB/CEBPB/SP3/TRAF6/PTPN2/CLCF1/JUN/EGR3/ADGRG3/IRF7/ZFP36L1/C17orf99/FZD9/SEMA4A/ADA/DLL1/MAFB/AGER/FNIP1/LYN",75
"GO:0048659","GO:0048659","smooth muscle cell proliferation","33/1387","130/15025",5.4128690415831e-08,3.73284981280174e-05,3.00841563574303e-05,"IGF1/FGFR2/PTGS2/EDN1/HMOX1/PPARGC1A/CDKN1B/HBEGF/MEF2D/TNFAIP3/GNA13/CDKN1A/EREG/BMP2/AGT/IL10/THBS1/CDH13/MYOCD/PTGIR/DDR2/FRS2/CTNNB1/SF1/S1PR1/TRIB1/DDIT3/JUN/ERN1/IRAK1/PRKG1/SRC/SOD2",33
"GO:0016570","GO:0016570","histone modification","77/1387","450/15025",6.76973425672271e-08,4.14984709937102e-05,3.34448625735634e-05,"CREBBP/KMT2E/PAX6/JARID2/PHF20/ARID4A/BOD1L1/ARID4B/USP36/KMT2C/PRDM1/JMJD6/ING3/BAZ2A/KAT6A/UIMC1/RCOR1/WAC/BRPF3/SETD1A/EP300/BRD1/KAT8/DOT1L/AKAP8/SUPT6H/PPARGC1A/PHF1/VEGFA/BCL6/KANSL3/KDM3A/SFPQ/PRDM2/RLF/KDM5B/RCOR3/UBE2B/EPC1/CTCFL/PRDM7/LIF/PER2/KDM6B/USP15/EPC2/SETD1B/JDP2/USP3/MYOCD/KDM6A/MIDEAS/KAT6B/CRTC2/SAP30BP/NIPBL/DDX21/KMT2D/CTNNB1/TET2/MECP2/CHD3/JMJD1C/TADA2B/KDM2A/MTHFR/PER1/PCGF5/SETD2/MUC1/USP7/TET3/LRRK2/ARID5A/MIER1/USP17L2/KMT2B",77
"GO:0048660","GO:0048660","regulation of smooth muscle cell proliferation","32/1387","126/15025",8.47787131931334e-08,4.67724160686517e-05,3.7695293108189e-05,"IGF1/FGFR2/PTGS2/EDN1/HMOX1/PPARGC1A/CDKN1B/HBEGF/MEF2D/TNFAIP3/GNA13/CDKN1A/EREG/BMP2/AGT/IL10/THBS1/CDH13/MYOCD/PTGIR/DDR2/FRS2/CTNNB1/SF1/S1PR1/TRIB1/JUN/ERN1/IRAK1/PRKG1/SRC/SOD2",32
"GO:2000630","GO:2000630","positive regulation of miRNA metabolic process","19/1387","53/15025",1.08084760250634e-07,5.42094202093406e-05,4.36889978276246e-05,"HIF1A/KLF5/NFKB1/FOXO3/EGR1/BMP2/NR1H2/IL10/KLF4/PNPT1/MYOCD/ZC3H12A/SMAD3/ATOH8/FOS/RELA/FOSL1/JUN/KCNQ1OT1",19
"GO:0002064","GO:0002064","epithelial cell development","41/1387","188/15025",1.41966499562115e-07,6.52690981736825e-05,5.26023240482785e-05,"PAX6/CCDC88C/ARID4A/ARID4B/PRDM1/ROCK1/FOSL2/B4GALT1/HIF1A/HNF4A/PPP1R16B/VSIG1/KLF5/HOXA5/EXPH5/VEGFA/PDE4D/IL1A/ONECUT2/CXCR4/IL1B/ATF4/RARA/FLNB/EDNRB/VEZF1/SHROOM3/RILPL2/HYDIN/NPHS1/FRS2/HPSE/SFN/YIPF6/PLCB1/PDE2A/MAGI2/WNT7B/SRC/DLL1/S1PR3",41
