"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0034728","GO:0034728","nucleosome organization","46/1799","133/15025",7.73520670691890e-12,4.08204092527469e-08,3.42814447528485e-08,"MCM2/SMARCD3/ASF1B/SUPT6H/ASF1A/H2BC11/H3-3B/ACTL6A/CHD1/KAT6B/H4C8/PADI4/VPS72/CHD2/H2AC25/SETD2/TSPYL2/H1-10/H2BC13/H2AX/H4C3/H3C12/H4C11/H2BC12/H3C14/BRD2/H2BC15/TSPY26P/H4C14/H2BC14/H3C8/H2BC6/H2BC17/H4C13/H3C11/H2BC9/H4C9/H4C5/H4C4/H3C7/H2BC10/H4C1/H4C2/H3C10/H3C2/H3C3",46
"GO:0006334","GO:0006334","nucleosome assembly","38/1799","99/15025",1.41198233319775e-11,4.08204092527469e-08,3.42814447528485e-08,"MCM2/ASF1B/ASF1A/H2BC11/H3-3B/KAT6B/H4C8/PADI4/TSPYL2/H1-10/H2BC13/H2AX/H4C3/H3C12/H4C11/H2BC12/H3C14/BRD2/H2BC15/TSPY26P/H4C14/H2BC14/H3C8/H2BC6/H2BC17/H4C13/H3C11/H2BC9/H4C9/H4C5/H4C4/H3C7/H2BC10/H4C1/H4C2/H3C10/H3C2/H3C3",38
"GO:0030099","GO:0030099","myeloid cell differentiation","85/1799","360/15025",3.63307589936561e-10,5.22993722351798e-07,4.39216086440468e-07,"KMT2E/ARID4A/GAB2/CASP8/TGFBR3/JMJD6/CDC42/PIR/RCOR1/TF/TREM2/EP300/BRD1/HIF1A/NFKBIA/MMP9/RELB/JAK3/ITGB8/HOXA5/SH3PXD2A/ZBTB16/CD81/TMEM14C/NEDD9/RHAG/VEGFA/BCL6/FOXO3/CSF3R/GPR68/PTK2B/PRXL2A/INHBA/THRA/KLF2/ZFP36/LIF/ATP5IF1/RARA/SKIC8/PARP1/LBR/NCAPG2/MFHAS1/OCSTAMP/KLF10/H4C8/C1QC/NBEAL2/IFI16/SNRK/IL31RA/PRDX3/CTNNB1/TET2/FOS/JUNB/CEBPB/SP3/TRIB1/TRAF6/PTPN2/JUN/GBA1/MAF/CSF1R/IRF7/ZFP36L1/EVI2B/MITF/H4C3/SRC/H4C11/PRMT6/MPIG6B/CLEC5A/H4C14/H4C13/H4C9/RAB7B/H4C5/H4C4/H4C1/H4C2",85
"GO:0031667","GO:0031667","response to nutrient levels","92/1799","403/15025",4.5226022341041e-10,5.22993722351798e-07,4.39216086440468e-07,"VPS41/CPS1/GCLM/GABARAPL2/CASR/ATP2B1/PTGS2/ACAT1/RASAL2/BCKDHB/WNT11/MTMR3/PCK2/BMP7/SLC7A5/PRKAG2/HSPA8/CCND1/OPRM1/CPEB4/IL1A/IGFBP2/ELAPOR1/ACADM/FOXO3/SPP1/DNMT3A/LRP11/CDKN1A/BBS2/ZFP36/ATF4/CDKN2D/DAD1/APOE/NR1H2/RARA/CHSY1/LARS1/EIF2S1/HNRNPA1/SORL1/GABARAPL1/BNIP2/BBS4/WDR45B/PMAIP1/SOD1/SIK1/BCL10/UCN2/PLIN2/ADM/FADS1/FOXO1/KLF10/SLC16A1/AIFM1/WIPI2/KCNB1/HLCS/ACE/SHANK2/AGL/ATF3/NUAK2/IFI16/ZC3H12A/RICTOR/CYBB/TMEM135/SLC27A4/NOD2/MN1/FOS/BCL2/EIF2AK3/DDIT3/LPL/UCP2/A2M/RNF152/TYMS/MTHFR/ULK1/GBA1/RMI1/NQO1/LRRK2/SRC/F5/MKKS",92
"GO:0061644","GO:0061644","protein localization to CENP-A containing chromatin","13/1799","18/15025",4.77735566788527e-09,3.94609578167323e-06,3.31397619488041e-06,"CENPA/H2BC11/H4C8/H4C3/H4C11/H4C14/H4C13/H4C9/H4C5/H4C4/H2AC4/H4C1/H4C2",13
"GO:0071824","GO:0071824","protein-DNA complex subunit organization","62/1799","247/15025",7.62961985733055e-09,5.51430775188566e-06,4.63097847392971e-06,"MCM2/BAZ2A/SMARCD3/ESR1/CENPI/OIP5/ASF1B/MED26/SUPT6H/ASF1A/GMNN/CENPA/HJURP/H2BC11/THRA/DLGAP5/H3-3B/ACTL6A/CENPO/CENPE/CHD1/KAT6B/H4C8/MIS18A/PADI4/VPS72/CDT1/CHD2/H2AC25/SETD2/TSPYL2/H1-10/H2BC13/H2AX/H4C3/H3C12/H4C11/H2BC12/H3C14/BRD2/H2BC15/TSPY26P/H4C14/GTF2H5/H2BC14/H3C8/H2BC6/H2BC17/H4C13/H3C11/H2BC9/H4C9/H4C5/H4C4/H3C7/H2BC10/H4C1/H4C2/H3C10/TAF11L11/H3C2/H3C3",62
"GO:0006338","GO:0006338","chromatin remodeling","78/1799","343/15025",1.15981024320534e-08,7.45113647357034e-06,6.25754930047515e-06,"PAX6/JARID2/BICRA/HLTF/MCM2/BAZ2A/SMARCD3/RAD54L/ESR1/BTAF1/EP300/TTI1/SMCHD1/OIP5/DOT1L/ASF1B/BCL7B/SUPT6H/ASF1A/KDM5B/DNMT3A/HJURP/H2BC11/DNMT1/H3-3B/KDM6B/ACTL6A/KDM6A/SUV39H2/CHD1/KAT6B/H4C8/MIS18A/PADI4/SMARCAD1/VPS72/TASOR/DDX21/KMT2D/MECP2/CHD3/CHD2/MTHFR/H2AC25/SETD2/TSPYL2/H1-10/H2BC13/H2AX/H4C3/H3C12/H4C11/H2BC12/MIER1/TOP1/H3C14/BRD2/H2BC15/TSPY26P/KCNQ1OT1/H4C14/H2BC14/H3C8/H2BC6/H2BC17/H4C13/H3C11/H2BC9/H4C9/H4C5/H4C4/H3C7/H2BC10/H4C1/H4C2/H3C10/H3C2/H3C3",78
"GO:0065004","GO:0065004","protein-DNA complex assembly","54/1799","213/15025",4.88458114773013e-08,2.82426481961756e-05,2.37184977205043e-05,"MCM2/BAZ2A/ESR1/CENPI/OIP5/ASF1B/MED26/ASF1A/GMNN/CENPA/HJURP/H2BC11/THRA/DLGAP5/H3-3B/CENPO/CENPE/KAT6B/H4C8/MIS18A/PADI4/CDT1/TSPYL2/H1-10/H2BC13/H2AX/H4C3/H3C12/H4C11/H2BC12/H3C14/BRD2/H2BC15/TSPY26P/H4C14/GTF2H5/H2BC14/H3C8/H2BC6/H2BC17/H4C13/H3C11/H2BC9/H4C9/H4C5/H4C4/H3C7/H2BC10/H4C1/H4C2/H3C10/TAF11L11/H3C2/H3C3",54
"GO:0050727","GO:0050727","regulation of inflammatory response","70/1799","322/15025",4.07175459035978e-07,0.000196190708678835,0.000164763192327453,"IGF1/NR1H3/FCGR2B/PTGS2/CYLD/MGST2/ESR1/TREM2/OSM/NFKBIA/MMP9/ACP5/CTSC/CD81/BCL6/TNFAIP3/CCR2/PTGIS/ZBP1/IL1B/C3/FFAR2/NR1D1/ZFP36/APOE/AGT/KLF4/SOD1/DUSP10/FANCD2/NFKBIZ/PLK2/TNIP1/PLA2G7/MFHAS1/PTGES/FCGR1A/ADAM8/RABGEF1/SLAMF8/ACE/NAPEPLD/NLRP3/TNFAIP8L2/S100A9/S100A12/CD200R1/RICTOR/MAPK7/SMAD3/NOD2/PBK/FABP4/CEBPB/RELA/PTPN2/LPL/NUPR1/METRNL/GBA1/MACIR/SOCS3/FFAR3/LILRA5/CNR2/LRRK2/SRC/SUCNR1/AGER/NEAT1",70
"GO:0031960","GO:0031960","response to corticosteroid","37/1799","136/15025",9.83350114051628e-07,0.000406123597103323,0.000341067223768433,"CPS1/ATP2B1/PTGS2/EDN1/BCKDHB/PCK2/PLAT/PTGDS/AREG/CCND1/IGFBP2/SGK1/FOXO3/GOT1/FLT3/FOSB/ZFP36/PCNA/PARP1/PAM/ADM/BCL2L11/AIFM1/ACE/AGL/CYBB/DDIT4/FOS/BCL2/FOSL1/A2M/TYMS/GBA1/PAPPA/ZFP36L1/WNT7B/SRC",37
