"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0032496","GO:0032496","response to lipopolysaccharide","48/915","283/15025",8.3369972758999e-11,4.32440048700928e-07,3.31812491580816e-07,"ABCC8/CPS1/CASP8/FGFR2/PTGS2/EDN1/CXCL2/NFKBIA/SLC7A5/RIPK2/AKAP8/OPRM1/IL1A/TNFAIP3/NR4A1/PTGER2/IL1B/NR1D1/TICAM1/ZFP36/LOXL1/JUND/RARA/GCH1/BCL10/DUSP10/TNIP1/ADM/NOCT/NLRP3/MAPKAPK2/S100A9/ZC3H12A/NOD2/CXCL8/FOS/CEBPB/RELA/TRIB1/TRAF6/THBD/IRAK1/PDE4B/CNR2/CD55/ARID5A/SRC/PELI1",48
"GO:0001819","GO:0001819","positive regulation of cytokine production","61/915","426/15025",3.26999873575067e-10,5.6538278141129e-07,4.33819832276255e-07,"ABCC8/CASP8/BCL3/PANX2/PTGS2/FCN1/WNT11/OSM/HIF1A/RIOK3/SLC7A5/RIPK2/CD83/PDE4D/IL1A/ARHGEF2/EGR1/CD244/EREG/IRF1/IL1B/FFAR2/TICAM1/ATF4/RARA/AGT/FLOT1/SORL1/THBS1/BCL10/ADAM8/GBP5/NODAL/NLRP3/MAPKAPK2/DDX21/SMAD3/NOD2/CCDC88B/EIF2AK3/CEBPB/RELA/TRAF6/DDIT3/SETD2/PLCB1/TBK1/IRAK1/PDE4B/IRF7/FFAR3/LILRA5/LRRK2/CD55/ARID5A/SRC/PELI1/C5AR1/AGER/CRLF2/DDX3X",61
"GO:0043068","GO:0043068","positive regulation of programmed cell death","63/915","473/15025",3.21295135060385e-09,4.16639466389555e-06,3.19688659385084e-06,"MARK4/BCLAF1/CASP8/CAMK2A/PTGS2/STK17B/CYLD/WNT11/B4GALT1/GADD45B/BMP7/RIPK2/HOXA5/NEURL1/ZBTB16/BCL6/SFPQ/FOXO3/NR4A1/G0S2/PTGIS/ZBP1/CDKN1A/SOX4/PLAGL2/ATF4/PRR7/BTG1/AGT/MTCH1/THBS1/PHLDA1/PMAIP1/SIK1/IL19/BCL10/MCL1/TP53BP2/RHOB/ADM/LATS2/FOXO1/ADAM8/BCL2L11/DEDD2/ATF3/S100A9/ZC3H12A/STK17A/NKX3-1/CTNNB1/KLF11/DDIT3/PTPN2/FOSL1/JUN/PHLDA2/HCAR2/LRRK2/SRC/HTT/DDX3X/PNMA2",63
"GO:0016570","GO:0016570","histone modification","59/915","450/15025",1.84409858115194e-08,1.59422322340585e-05,1.22325205883079e-05,"CREBBP/KMT2E/PAX6/JARID2/ARID4A/ARID4B/USP36/KMT2C/JMJD6/BAZ2A/UIMC1/RCOR1/BRPF3/SETD1A/EP300/BRD1/DOT1L/AKAP8/SUPT6H/PHF1/VEGFA/BCL6/KANSL3/KDM3A/SFPQ/RLF/KDM5B/UBE2B/EPC1/LIF/PER2/KDM6B/USP15/EPC2/SETD1B/JDP2/USP3/MYOCD/KDM6A/KAT6B/CRTC2/SAP30BP/DDX21/KMT2D/CTNNB1/TET2/MECP2/CHD3/JMJD1C/KDM2A/MTHFR/PER1/SETD2/MUC1/USP7/LRRK2/ARID5A/MIER1/USP17L2",59
"GO:0002064","GO:0002064","epithelial cell development","33/915","188/15025",3.21556152787999e-08,2.37009340832021e-05,1.81857948045391e-05,"PAX6/CCDC88C/ARID4A/ARID4B/ROCK1/FOSL2/B4GALT1/HIF1A/HNF4A/PPP1R16B/VSIG1/KLF5/HOXA5/EXPH5/VEGFA/PDE4D/IL1A/ONECUT2/CXCR4/IL1B/ATF4/RARA/FLNB/SHROOM3/RILPL2/HYDIN/FRS2/SFN/PLCB1/MAGI2/WNT7B/SRC/S1PR3",33
"GO:0030099","GO:0030099","myeloid cell differentiation","50/915","360/15025",3.6554361416159e-08,2.37009340832021e-05,1.81857948045391e-05,"KMT2E/ARID4A/GAB2/CASP8/TGFBR3/JMJD6/CDC42/RCOR1/TF/EP300/BRD1/HIF1A/NFKBIA/RELB/JAK3/ITGB8/HOXA5/ZBTB16/NEDD9/RHAG/VEGFA/BCL6/FOXO3/CSF3R/PTK2B/THRA/KLF2/ZFP36/LIF/RARA/LBR/KLF10/NBEAL2/SNRK/IL31RA/CTNNB1/TET2/FOS/JUNB/CEBPB/SP3/TRIB1/TRAF6/PTPN2/JUN/IRF7/ZFP36L1/EVI2B/SRC/MPIG6B",50
"GO:0032103","GO:0032103","positive regulation of response to external stimulus","53/915","394/15025",4.21432961608916e-08,2.42885863540605e-05,1.86367020800387e-05,"CREBBP/CASR/PTGS2/EDN1/FCN1/OSM/EP300/NFKBIA/RIOK3/RIPK2/PLAT/NEDD9/OPRM1/VEGFA/SFPQ/PTK2B/CXCR4/ZBP1/EREG/IL1B/FFAR2/OASL/USP15/AGT/THBS1/NLRC5/CDH13/NFKBIZ/TNIP1/ADAM8/GBP5/CD1D/NLRP3/S100A9/S100A12/NDEL1/AP1G1/SMAD3/NOD2/CXCL8/CEBPB/TRAF6/THBD/TBK1/IRF7/FFAR3/LILRA5/LRRK2/SRC/C5AR1/AGER/USP17L2/NEAT1",53
"GO:1901652","GO:1901652","response to peptide","57/915","441/15025",5.34686056843082e-08,2.74157374520702e-05,2.10361741004896e-05,"ABCC8/IGF1/CPS1/CASR/ROCK1/TGFBR3/CAMK2A/ATP2B1/PTGS2/EDN1/PXN/SRSF5/NFKBIA/BMP7/RIPK2/PLAT/JAK3/AREG/KLF3/CDKN1B/ARHGEF2/TNFAIP3/FOXO3/EGR1/CRY2/NR4A1/EREG/IL1B/ID1/KLF2/JUND/PTPRE/AGT/SORL1/PNPT1/SLC24A4/CACNA1A/PHIP/ADM/FOXO1/BCL2L11/NR4A2/NDEL1/NOD2/FOS/KLF11/RELA/PTPN2/PLCB1/SOCS3/ZFP36L1/FFAR3/IRS2/SRC/AGER/GNRHR2/VAMP2",57
"GO:0001525","GO:0001525","angiogenesis","59/915","465/15025",6.04218469339289e-08,2.74157374520702e-05,2.10361741004896e-05,"THSD7A/ABCC8/STAB1/CASP8/FGFR2/ROCK1/JMJD6/PTGS2/MCAM/EDN1/B4GALT1/HIF1A/PPP1R16B/KLF5/ITGB8/HOXA5/VEGFA/IL1A/TNFAIP3/GNA13/PTK2B/CXCR4/NR4A1/PTGIS/EREG/IL1B/ID1/KLF2/DLL4/BTG1/AGT/KLF4/THBS1/ENPEP/CDH13/RHOB/COL8A1/PLK2/ADM/ADAM8/NODAL/PROK2/ZC3H12A/HEY1/VSTM4/JCAD/MAPK7/CTNNB1/MECP2/CXCL8/LRG1/EIF2AK3/JUN/EGR3/SETD2/EPGN/HGS/C5AR1/ADGRG1",59
"GO:0009991","GO:0009991","response to extracellular stimulus","56/915","432/15025",6.342565055424e-08,2.74157374520702e-05,2.10361741004896e-05,"CPS1/CASR/ATP2B1/PTGS2/WNT11/MTMR3/BMP7/SLC7A5/PRKAG2/OPRM1/CPEB4/IL1A/ELAPOR1/FOXO3/CDKN1A/ZFP36/ATF4/CDKN2D/NR1H2/RARA/CHSY1/HNRNPA1/SORL1/GABARAPL1/BNIP2/MYOCD/WDR45B/PMAIP1/SIK1/BCL10/UCN2/PLIN2/ADM/FOXO1/NOCT/NR4A2/KLF10/WIPI2/KCNB1/SHANK2/ATF3/NUAK2/ZC3H12A/RICTOR/NOD2/MN1/FOS/EIF2AK3/DDIT3/FOSL1/RNF152/MTHFR/ULK1/LRRK2/SRC/F5",56
