"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006335","GO:0006335","DNA replication-dependent chromatin assembly","19/884","32/15025",5.84067197215363e-16,2.78716866511171e-12,2.61108777534068e-12,"ASF1B/ASF1A/H4C8/H4C3/H3C12/H4C11/H4C14/H3C8/H4C13/H3C11/H4C9/H4C5/H4C4/H3C7/H4C1/H4C2/H3C10/H3C2/H3C3",19
"GO:0061644","GO:0061644","protein localization to CENP-A containing chromatin","13/884","18/15025",6.04953050757774e-13,8.54194956077329e-10,8.00230727149693e-10,"CENPA/H2BC11/H4C8/H4C3/H4C11/H4C14/H4C13/H4C9/H4C5/H4C4/H2AC4/H4C1/H4C2",13
"GO:0065004","GO:0065004","protein-DNA complex assembly","43/884","213/15025",7.1600583074378e-13,8.54194956077329e-10,8.00230727149693e-10,"MCM2/ESR1/CENPI/OIP5/ASF1B/ASF1A/GMNN/CENPA/HJURP/H2BC11/DLGAP5/CENPO/CENPE/H4C8/MIS18A/CDT1/H2BC13/H2AX/H4C3/H3C12/H4C11/H2BC12/H3C14/H2BC15/H4C14/GTF2H5/H2BC14/H3C8/H2BC6/H2BC17/H4C13/H3C11/H2BC9/H4C9/H4C5/H4C4/H3C7/H2BC10/H4C1/H4C2/H3C10/H3C2/H3C3",43
"GO:0034728","GO:0034728","nucleosome organization","33/884","133/15025",8.95874756876397e-13,8.55022867962834e-10,8.01006335253486e-10,"MCM2/ASF1B/ASF1A/H2BC11/ACTL6A/H4C8/VPS72/H2BC13/H2AX/H4C3/H3C12/H4C11/H2BC12/H3C14/H2BC15/H4C14/H2BC14/H3C8/H2BC6/H2BC17/H4C13/H3C11/H2BC9/H4C9/H4C5/H4C4/H3C7/H2BC10/H4C1/H4C2/H3C10/H3C2/H3C3",33
"GO:0071824","GO:0071824","protein-DNA complex subunit organization","45/884","247/15025",8.82118876687705e-12,6.50304224928896e-09,6.09220903355764e-09,"MCM2/ESR1/CENPI/OIP5/ASF1B/ASF1A/GMNN/CENPA/HJURP/H2BC11/DLGAP5/ACTL6A/CENPO/CENPE/H4C8/MIS18A/VPS72/CDT1/H2BC13/H2AX/H4C3/H3C12/H4C11/H2BC12/H3C14/H2BC15/H4C14/GTF2H5/H2BC14/H3C8/H2BC6/H2BC17/H4C13/H3C11/H2BC9/H4C9/H4C5/H4C4/H3C7/H2BC10/H4C1/H4C2/H3C10/H3C2/H3C3",45
"GO:0006260","GO:0006260","DNA replication","45/884","279/15025",5.80738342795086e-10,3.07920374646461e-07,2.88467338228156e-07,"RECQL/POLQ/MCM2/MCM6/ZMPSTE24/CDC6/GINS1/SAMHD1/METTL4/DNAJA3/MCM4/RNASEH2A/TNFAIP1/TIMELESS/ING4/FBXO5/MCM3/GMNN/MCM8/E2F8/RPA1/PCNA/ACTL6A/BCAR3/ACVRL1/PARP1/CCNA2/OBI1/PTMS/RFC4/FAM111A/PCLAF/RRM1/CDT1/FEN1/CDK1/ESCO2/RRM2/SLFN11/CCNE2/RMI1/GINS3/TRAIP/FAM111B/MCMBP",45
"GO:0000280","GO:0000280","nuclear division","59/884","441/15025",2.43583983101672e-09,9.70603965531641e-07,9.09285534392041e-07,"NCAPD2/ANLN/NDC1/ASPM/RPS6KA2/SMC1A/RAD54L/AURKA/TPX2/KIF4A/CDC6/CDC23/AAAS/MYBL2/CCDC61/NCAPG/RAD51AP1/FBXO5/NEK6/SLF2/NCAPH/ZWINT/CKS2/KLHDC3/DLGAP5/TUBG1/TOP2A/CCNB1/CDCA8/ACTL6A/SMC2/NUSAP1/ACTR2/KIF11/CENPE/KIF2C/FANCD2/CDCA5/NCAPG2/MKI67/INCENP/DSN1/CCNB2/SPC24/KIF15/TASOR/MAD2L1/PTTG1/REEP3/PLK1/CDT1/BUB1/ESCO2/UBE2C/CCNE2/RMI1/AURKB/TDRKH/KIFC1",59
"GO:0007059","GO:0007059","chromosome segregation","51/884","354/15025",2.44074760821033e-09,9.70603965531641e-07,9.09285534392041e-07,"NCAPD2/CENPQ/NDC1/SMC1A/NUP37/KIF4A/CDC6/CDC23/OIP5/NCAPG/FBXO5/NEK6/SLF2/NCAPH/ZWINT/HJURP/DLGAP5/TUBG1/TOP2A/CCNB1/CDCA8/ACTL6A/SMC2/NUSAP1/ACTR2/KIF11/CENPE/KIF2C/FANCD2/CDCA5/NCAPG2/MKI67/INCENP/DSN1/MIS18A/SPC24/SMARCAD1/MAD2L1/PTTG1/CIAO2A/PLK1/CDT1/FEN1/BUB1/ESCO2/UBE2C/CCNE2/RMI1/AURKB/MCMBP/KIFC1",51
"GO:0000819","GO:0000819","sister chromatid segregation","38/884","227/15025",4.45957769075805e-09,1.63700805694595e-06,1.53358918644935e-06,"NCAPD2/SMC1A/KIF4A/CDC6/CDC23/NCAPG/FBXO5/NEK6/SLF2/NCAPH/ZWINT/DLGAP5/TUBG1/TOP2A/CCNB1/CDCA8/ACTL6A/SMC2/NUSAP1/KIF11/CENPE/KIF2C/CDCA5/NCAPG2/INCENP/DSN1/SPC24/MAD2L1/PTTG1/PLK1/CDT1/FEN1/BUB1/ESCO2/UBE2C/AURKB/MCMBP/KIFC1",38
"GO:0098813","GO:0098813","nuclear chromosome segregation","44/884","295/15025",1.07323613517685e-08,3.41432189137594e-06,3.19862025690952e-06,"NCAPD2/CENPQ/NDC1/SMC1A/KIF4A/CDC6/CDC23/NCAPG/FBXO5/NEK6/SLF2/NCAPH/ZWINT/DLGAP5/TUBG1/TOP2A/CCNB1/CDCA8/ACTL6A/SMC2/NUSAP1/ACTR2/KIF11/CENPE/KIF2C/FANCD2/CDCA5/NCAPG2/INCENP/DSN1/SPC24/MAD2L1/PTTG1/PLK1/CDT1/FEN1/BUB1/ESCO2/UBE2C/CCNE2/RMI1/AURKB/MCMBP/KIFC1",44
