"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0032103","GO:0032103","positive regulation of response to external stimulus","121/2715","394/15025",4.75563524491085e-10,2.83435860596687e-06,2.30973694947565e-06,"CREBBP/FYN/GRN/CASR/F7/SPI1/IFI35/PTGS2/EDN1/FCN1/MGST2/MAVS/NLRP1/TREM2/NRP1/OSM/LGALS2/PDGFB/EP300/LGMN/NFKBIA/RIOK3/RIPK2/PLAT/MET/HSPB1/CCL7/CLNK/CTSC/CD81/NEDD9/RIPOR2/SASH1/OPRM1/VEGFA/SFPQ/VAMP8/PTK2B/CCR2/CXCR4/PLAU/OPTN/ZBP1/EREG/IL1B/C3/TNFSF14/FFAR2/ANKRD17/CD180/CLOCK/OASL/AKIRIN2/USP15/AGT/IL6/DDX60/THBS1/EMILIN1/CASP6/NTRK3/NLRC5/CDH13/TNFRSF11A/S100A8/NFKBIZ/SNCA/TNIP1/PLA2G7/FCGR1A/IL18/ADAM8/ADAM17/GBP5/CD1D/ACE/NAPEPLD/NLRP3/SLAMF6/S100A9/S100A12/IFI16/NDEL1/AP1G1/SMAD3/NOD2/CXCL8/FABP4/CD14/PTGER4/CEBPB/CLEC7A/OXSR1/VEGFB/AKIRIN1/CMKLR1/TRAF6/LPL/NUPR1/ANO6/CD28/THBD/TMEM102/CSF1R/GAS6/TBK1/IRF7/FFAR3/LILRA5/PLSCR1/LRRK2/TLR7/FLNA/SRC/C5AR1/SUCNR1/AGER/ZNF580/USP17L2/LILRA2/NEAT1",121
"GO:0001819","GO:0001819","positive regulation of cytokine production","127/2715","426/15025",1.42611589605098e-09,4.24982537023191e-06,3.46320986546274e-06,"FGR/ABCC8/CD4/SLC11A1/HGF/CASP8/CD84/PRKCZ/BCL3/PANX2/PTGS2/FCN1/WNT11/MAVS/IRAK3/NLRP1/TREM2/OSM/HIF1A/RIOK3/RGCC/SLC7A5/CD276/RIPK2/CARD8/HSPB1/CLNK/PANX1/CD81/CD83/PDE4D/IL1A/SPTBN1/ARHGEF2/TRIM32/NR4A3/EGR1/CCR2/CD244/EREG/IRF1/IL1B/C3/FFAR2/TICAM1/ATF4/AKAP12/RARA/CHI3L1/EPHB2/ANXA1/HILPDA/AKIRIN2/AGT/HTR2B/IL6/FLOT1/SORL1/THBS1/FURIN/SOD1/BCL10/G3BP1/IL18/ADAM8/ADAM17/GBP5/NODAL/FCER1G/RUNX1/ZBTB7B/NLRP3/SLAMF6/MAPKAPK2/FZD5/IFI16/CYBB/DDX21/CLEC4E/SMAD3/PHB1/NOD2/CCDC88B/CD14/PTGER4/EIF2AK3/CEBPB/CLEC7A/RELA/TRAF6/DDIT3/LPL/SPHK1/CD28/ZFPM1/LACC1/SCRIB/SETD2/CSF1R/PLCB1/TBK1/IRAK1/PDE4B/TMEM106A/IRF7/FFAR3/LILRA5/LRRK2/IL1RAP/CD55/SULF2/TLR7/ARID5A/SRC/PELI1/C5AR1/SCAMP5/PNP/FCGR3A/AGER/TRIM27/CRLF2/ZNF580/DDX3X/LILRA2/CLEC5A/RAB7B",127
"GO:0034728","GO:0034728","nucleosome organization","53/2715","133/15025",2.93718260470831e-09,5.83520277468718e-06,4.75514404846462e-06,"MCM2/ACTR6/SMARCD3/ASF1B/SUPT6H/ASF1A/MACROH2A1/NFE2/H1-3/H2BC11/H3-3B/ACTL6A/HMGA1/CHD1/KAT6B/H4C8/PADI4/VPS72/H1-4/CHD2/H2AC25/SETD2/TSPYL2/H1-10/H2BC13/H2AX/H2BC26/H4C3/H3C12/H4C11/H2BC12/H3C14/BRD2/H2BC15/TSPY26P/H4C14/H2BC14/H3C8/H2BC6/H2BC17/H4C13/H3C11/H2BC9/H4C9/H4C5/H4C4/H3C7/H2BC10/H4C1/H4C2/H3C10/H3C2/H3C3",53
"GO:0032496","GO:0032496","response to lipopolysaccharide","91/2715","283/15025",5.79163312680923e-09,7.68453161661232e-06,6.26217394543434e-06,"ABCC8/TBXA2R/SLC11A1/CPS1/NR1H3/MAP2K3/CASP8/SBNO2/SPI1/FGFR2/SCARB1/PTGS2/EDN1/CXCL2/IRAK3/TREM2/PCK2/NFKBIA/BPI/ACP5/SLC7A5/RIPK2/AKAP8/CARD8/RPS6KB1/CCL2/SASH1/OPRM1/IL1A/TNFAIP3/NR4A1/PTGER2/IL1B/NR1D1/TICAM1/ZFP36/LOXL1/JUND/AKAP12/RARA/GCH1/EPHB2/CD180/AKIRIN2/CDK4/IL6/IL18BP/SMAD6/TNFRSF11A/BCL10/DUSP10/S100A8/SNCA/TNIP1/ADM/IL18/NOCT/FER/ADAM17/ACE/NLRP3/MAPKAPK2/S100A9/CXCL3/ZC3H12A/CASP3/PRDX3/NOD2/SRR/CXCL8/FOS/CD14/PRKCE/PTGER4/CEBPB/RELA/TRIB1/TRAF6/THBD/IRAK1/PDE4B/BCR/CNR2/CD55/ARID5A/SRC/PELI1/PDCD1LG2/ADH5/LILRA2/MRC1",91
"GO:0002237","GO:0002237","response to molecule of bacterial origin","95/2715","300/15025",6.44675471192309e-09,7.68453161661232e-06,6.26217394543434e-06,"ABCC8/TBXA2R/SLC11A1/CPS1/NR1H3/MAP2K3/CASP8/SBNO2/SPI1/FGFR2/FCGR2B/SCARB1/PTGS2/EDN1/CXCL2/IRAK3/TREM2/PCK2/NFKBIA/BPI/ACP5/SLC7A5/RIPK2/AKAP8/CARD8/RPS6KB1/CCL2/SASH1/OPRM1/IL1A/TNFAIP3/NR4A1/PTGER2/IL1B/NR1D1/TICAM1/ZFP36/LOXL1/JUND/AKAP12/RARA/GCH1/EPHB2/CD180/AKIRIN2/CDK4/IL6/IL18BP/SMAD6/TNFRSF11A/BCL10/DUSP10/S100A8/SNCA/TNIP1/ADM/IL18/NOCT/FER/ADAM17/ACE/NLRP3/MAPKAPK2/S100A9/FZD5/CXCL3/ZC3H12A/CASP3/PRDX3/NOD2/SRR/CXCL8/FOS/CD14/PRKCE/PTGER4/CEBPB/RELA/TRIB1/TRAF6/THBD/SSC5D/IRAK1/PDE4B/BCR/CNR2/CD55/ARID5A/SRC/PELI1/C5AR1/PDCD1LG2/ADH5/LILRA2/MRC1",95
"GO:0050727","GO:0050727","regulation of inflammatory response","100/2715","322/15025",8.09191058966326e-09,8.03796451906551e-06,6.55018867731689e-06,"FGR/FYN/ALOX5/IGF1/HGF/NR1H3/GRN/SBNO2/IFI35/FCGR2B/PTGS2/CYLD/MGST2/NLRP1/ESR1/TREM2/OSM/LGALS2/NFKBIA/MMP9/ABHD12/ACP5/CTSC/CD81/BCL6/PROC/TNFAIP3/VAMP8/CCR2/PTGIS/ZBP1/IL1B/C3/FFAR2/NR1D1/ZFP36/APOE/SERPINF1/CLOCK/ANXA1/AGT/IL6/KLF4/RB1/FURIN/TNFRSF11A/SOD1/SIGLEC10/DUSP10/S100A8/FANCD2/NFKBIZ/SNCA/PLK2/TNIP1/PLA2G7/MFHAS1/PTGES/FCGR1A/IL18/ADAM8/RABGEF1/SLAMF8/ACE/NAPEPLD/NLRP3/TNFAIP8L2/S100A9/S100A12/CD200R1/BAP1/RICTOR/MAPK7/SMAD3/NOD2/PBK/FABP4/PTGER4/CEBPB/RELA/PTPN2/LPL/NUPR1/SPHK1/METRNL/GBA1/CD28/LACC1/MACIR/SOCS3/FFAR3/BCR/LILRA5/CNR2/LRRK2/TLR7/SRC/SUCNR1/AGER/NEAT1",100
"GO:0006334","GO:0006334","nucleosome assembly","42/2715","99/15025",1.45944970239535e-08,1.24261717518233e-05,1.01261668072964e-05,"MCM2/ASF1B/ASF1A/MACROH2A1/H1-3/H2BC11/H3-3B/KAT6B/H4C8/PADI4/H1-4/TSPYL2/H1-10/H2BC13/H2AX/H2BC26/H4C3/H3C12/H4C11/H2BC12/H3C14/BRD2/H2BC15/TSPY26P/H4C14/H2BC14/H3C8/H2BC6/H2BC17/H4C13/H3C11/H2BC9/H4C9/H4C5/H4C4/H3C7/H2BC10/H4C1/H4C2/H3C10/H3C2/H3C3",42
"GO:0031667","GO:0031667","response to nutrient levels","118/2715","403/15025",1.7012849261857e-08,1.26745727000835e-05,1.03285903281853e-05,"TBXA2R/VPS41/GIPR/HFE/CPS1/GCLM/FAS/GABARAPL2/CASR/F7/ATP2B1/PTGS2/ACAT1/RASAL2/BCKDHB/WNT11/MTMR3/PCK2/BMP7/SLC7A5/PRKAG2/RPS6KB1/COL1A1/HSPA8/CCND1/OPRM1/CPEB4/IL1A/IGFBP2/ELAPOR1/ACADM/SLC2A1/NENF/SGIP1/FOXO3/SPP1/DNMT3A/LRP11/CDKN1A/RUNX2/BBS2/MKKS/ZFP36/ATF4/CDKN2D/DAD1/APOE/SESN2/NR1H2/RARA/CHSY1/LARS1/EIF2S1/STK26/HNRNPA1/PIM1/SORL1/GABARAPL1/TPH2/BNIP2/BBS4/MAP1LC3B/WDR45B/TNFRSF11A/PMAIP1/SOD1/SIK1/BCL10/UCN2/PLIN2/SLC25A25/ADM/SESN3/FADS1/FOXO1/ACSL1/KLF10/SLC16A1/AIFM1/WIPI2/KCNB1/HLCS/ACE/SHANK2/AGL/ATF3/NUAK2/IFI16/ZC3H12A/RICTOR/CYBB/FOLR2/TMEM135/SLC27A4/NOD2/MN1/FOS/BCL2/EIF2AK3/DDIT3/LPL/UCP2/A2M/RNF152/TYMS/MTHFR/ULK1/GBA1/RMI1/NQO1/GAS6/BMP8A/UPP1/PRR5/LRRK2/AKR1C3/SRC/F5",118
"GO:0030099","GO:0030099","myeloid cell differentiation","107/2715","360/15025",3.35406416789935e-08,1.99902224406801e-05,1.6290160074408e-05,"KMT2E/CD4/ARID4A/GAB2/KITLG/CASP8/SBNO2/SPI1/TGFBR3/JMJD6/CDC42/PIR/RCOR1/TF/TREM2/EP300/BRD1/HIF1A/NFKBIA/MMP9/RELB/JAK3/ITGB8/HOXA5/SH3PXD2A/ZBTB16/CD81/TCIRG1/TMEM14C/NEDD9/RHAG/VEGFA/BCL6/ID2/FOXO3/CSF3R/GPR68/PTK2B/PRXL2A/INHBA/PDE1B/THRA/KLF2/ZFP36/LIF/ATP5IF1/RARA/TSPAN2/ACVR1B/PPP3CA/RB1/SKIC8/TNFRSF11A/PARP1/LBR/NCAPG2/MFHAS1/OCSTAMP/KLF10/H4C8/C1QC/RUNX1/NBEAL2/ZNF385A/IFI16/SNRK/BAP1/CASP3/IL31RA/PRDX3/CTNNB1/TET2/FOS/JUNB/CEBPB/RARG/SP3/TRIB1/TRAF6/PTPN2/JUN/GBA1/FAM20C/MAF/ZBTB7A/ZFPM1/CSF1R/IRF7/ZFP36L1/EVI2B/MITF/FLNA/SIGLEC15/H4C3/SRC/H4C11/PRMT6/MPIG6B/CLEC5A/H4C14/H4C13/H4C9/RAB7B/H4C5/H4C4/H4C1/H4C2",107
"GO:0071168","GO:0071168","protein localization to chromatin","27/2715","54/15025",9.19764976074491e-08,4.64349605263225e-05,3.78401462148449e-05,"JARID2/SPI1/ESR1/MSH2/MACROH2A1/CENPA/H2BC11/MCM8/CDK9/RB1/CDCA5/CHMP7/H4C8/TASOR/PLK1/ESCO2/SETD2/H4C3/H4C11/H4C14/H4C13/H4C9/H4C5/H4C4/H2AC4/H4C1/H4C2",27
