"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0001819","GO:0001819","positive regulation of cytokine production","90/1472","426/15025",1.12329368859121e-12,6.26011572651881e-09,4.89992531107576e-09,"FGR/ABCC8/SLC11A1/CASP8/PRKCZ/BCL3/PANX2/PTGS2/FCN1/WNT11/IRAK3/NLRP1/OSM/HIF1A/RIOK3/RGCC/SLC7A5/RIPK2/CLNK/CD83/PDE4D/IL1A/SPTBN1/ARHGEF2/NR4A3/EGR1/CCR2/CD244/EREG/IRF1/IL1B/FFAR2/TICAM1/ATF4/AKAP12/RARA/ANXA1/HILPDA/AKIRIN2/AGT/IL6/FLOT1/SORL1/THBS1/FURIN/BCL10/ADAM8/ADAM17/GBP5/NODAL/RUNX1/ZBTB7B/NLRP3/MAPKAPK2/DDX21/CLEC4E/SMAD3/NOD2/CCDC88B/PTGER4/EIF2AK3/CEBPB/CLEC7A/RELA/TRAF6/DDIT3/SPHK1/ZFPM1/SETD2/PLCB1/TBK1/IRAK1/PDE4B/IRF7/FFAR3/LILRA5/LRRK2/IL1RAP/CD55/SULF2/ARID5A/SRC/PELI1/C5AR1/PNP/AGER/CRLF2/ZNF580/DDX3X/LILRA2",90
"GO:0032496","GO:0032496","response to lipopolysaccharide","67/1472","283/15025",4.66209047196928e-12,1.29909151001424e-08,1.01682646925477e-08,"ABCC8/TBXA2R/SLC11A1/CPS1/MAP2K3/CASP8/SBNO2/SPI1/FGFR2/PTGS2/EDN1/CXCL2/IRAK3/NFKBIA/BPI/SLC7A5/RIPK2/AKAP8/RPS6KB1/OPRM1/IL1A/TNFAIP3/NR4A1/PTGER2/IL1B/NR1D1/TICAM1/ZFP36/LOXL1/JUND/AKAP12/RARA/GCH1/AKIRIN2/IL6/SMAD6/BCL10/DUSP10/S100A8/TNIP1/ADM/NOCT/ADAM17/NLRP3/MAPKAPK2/S100A9/CXCL3/ZC3H12A/NOD2/CXCL8/FOS/PRKCE/PTGER4/CEBPB/RELA/TRIB1/TRAF6/THBD/IRAK1/PDE4B/BCR/CNR2/CD55/ARID5A/SRC/PELI1/LILRA2",67
"GO:0016049","GO:0016049","cell growth","86/1472","447/15025",5.79893398257698e-10,8.07936477122538e-07,6.32389011152606e-07,"SEMA3F/IFRD1/CDK11A/SEMA3B/EXTL3/CYFIP2/OGFR/PRKCZ/RASGRP2/CDC42/EDN1/SEMA5B/WNT11/SLC9A1/NRCAM/HNF4A/ADNP2/SMAD7/PTPRS/COBL/CDKN1B/VEGFA/HBEGF/PPP2CA/BCL6/HYAL1/TNR/RGS2/SGK1/BCL11A/PTK2B/ADRA1A/CXCR4/INHBA/CDKN1A/CPNE5/NRN1/KRT17/CDKN2D/SESN2/H3-3B/BTG1/EPHA7/ACVR1B/AGT/PLCE1/CLSTN3/MYOCD/S100A8/BIN3/CDKN2A/C9orf72/ADAM17/SPOCK1/ING1/CXCL16/S100A9/NKX6-1/RYK/BAP1/RICTOR/NDEL1/SMAD3/KMT2D/CTNNB1/GNG4/RARG/NET1/SFN/SPHK1/RIMS2/MEX3C/ULK1/ARIH2/SERTAD2/TSPYL2/SLIT3/MAPT/SEMA4D/NLGN3/DACT3/SMURF1/MUC12/MEG3/DDX3X/PLXNA4",86
"GO:0043068","GO:0043068","positive regulation of programmed cell death","89/1472","473/15025",9.34589235415798e-10,1.04169316179445e-06,8.15355324539593e-07,"MARK4/FAS/BCLAF1/CASP8/CAMK2A/PTGS2/STK17B/CYLD/WNT11/B4GALT1/SLC9A1/GADD45B/LGALS2/BMP7/NTSR1/EEF1A2/RGCC/RIPK2/HOXA5/NEURL1/SEPTIN4/ZBTB16/TPD52L1/BCL6/SFPQ/FOXO3/TNFRSF10B/INHBA/NR4A1/G0S2/PTGIS/ZBP1/CDKN1A/SOX4/PLAGL2/ATF4/AKAP12/PRR7/BTG1/RNF122/ANXA1/EPHA7/AGT/IL6/SKIL/MTCH1/THBS1/PHLDA1/PMAIP1/SIK1/IL19/CAPN10/BCL10/MCL1/TP53BP2/S100A8/RHOB/CDKN2A/ADM/LATS2/FOXO1/ADAM8/BCL2L11/DEDD2/ATF3/S100A9/ZC3H12A/STK17A/MOAP1/NKX3-1/CTNNB1/KLF11/CLEC7A/RARG/NET1/DDIT3/PTPN2/FOSL1/JUN/PHLDA2/HCAR2/LRRK2/AKR1C3/SRC/HTT/RNPS1/ITGA1/DDX3X/PNMA2",89
"GO:0007159","GO:0007159","leukocyte cell-cell adhesion","74/1472","369/15025",1.42935259296699e-09,1.32763033343417e-06,1.03916441144828e-06,"ITGAL/FYN/ALOX5/PRKCZ/ROCK1/STK10/SMARCD3/ICAM1/BMP7/SMAD7/NFAT5/RIPK2/JAK3/VSIR/MAP3K8/ZBTB16/RIPOR2/CD83/BCL6/HES1/IL1A/IGFBP2/FOXO3/NR4A3/CCR2/SOX4/IRF1/IL1B/TNFSF9/TNFSF14/PHF10/FCHO1/RARA/ANXA1/IL6/KLF4/LRRC32/BCL10/DUSP10/S100A8/NFKBIZ/TNIP1/ADAM8/CD1D/RUNX1/TNFRSF13C/ICOSLG/ZBTB7B/ITGA5/NLRP3/S100A9/ZC3H12A/NOD2/NFKBID/CCDC88B/LRG1/CEBPB/RELA/OLR1/CHST2/TRAF6/PTPN2/EGR3/CLEC4G/IRAK1/SEMA4D/SELL/CD55/FUT4/SRC/PELI1/NRARP/PNP/AGER",74
"GO:0009612","GO:0009612","response to mechanical stimulus","47/1472","191/15025",1.90814726210964e-09,1.51915781310529e-06,1.18907703070411e-06,"FYN/ATP1A2/FAS/CASP8/CNN2/PTGS2/EDN1/WNT11/SLC9A1/WHRN/NFKBIA/RPS6KB1/COL1A1/NRXN2/IGFBP2/SLC2A1/PPL/TNFRSF10B/PTK2B/CXCR4/PHF24/IRF1/IL1B/TNFSF14/FOSB/KCNC1/JUND/RAF1/ATP8A2/AGT/THBS1/BCL10/PKD1L1/BTG2/ADGRV1/PKD1L2/CTNNB1/MAP3K2/FOS/PTGER4/RELA/CNTNAP2/FOSL1/JUN/SRC/HTT/STRC",47
"GO:0032103","GO:0032103","positive regulation of response to external stimulus","77/1472","394/15025",2.25940106793499e-09,1.57395526895021e-06,1.23196816125297e-06,"CREBBP/FYN/CASR/F7/SPI1/PTGS2/EDN1/FCN1/NLRP1/OSM/LGALS2/EP300/NFKBIA/RIOK3/RIPK2/PLAT/MET/CCL7/CLNK/NEDD9/RIPOR2/OPRM1/VEGFA/SFPQ/PTK2B/CCR2/CXCR4/ZBP1/EREG/IL1B/TNFSF14/FFAR2/OASL/AKIRIN2/USP15/AGT/IL6/THBS1/NTRK3/NLRC5/CDH13/S100A8/NFKBIZ/TNIP1/ADAM8/ADAM17/GBP5/CD1D/NLRP3/S100A9/S100A12/NDEL1/AP1G1/SMAD3/NOD2/CXCL8/PTGER4/CEBPB/CLEC7A/OXSR1/AKIRIN1/TRAF6/THBD/TBK1/IRF7/FFAR3/LILRA5/PLSCR1/LRRK2/FLNA/SRC/C5AR1/AGER/ZNF580/USP17L2/LILRA2/NEAT1",77
"GO:0051090","GO:0051090","regulation of DNA-binding transcription factor activity","75/1472","397/15025",1.67999098969934e-08,9.3625897855944e-06,7.32829753822531e-06,"TRAF1/SPI1/PRKCZ/BCL3/CAMK2A/EDN1/CYLD/IRAK3/EP300/NFKBIA/BMP7/NTSR1/SMAD7/RGCC/RIPK2/MED13/MAPK10/VEGFA/HES1/ID2/ARHGEF2/TNFAIP3/SGK1/PTGIS/IL1B/ID1/GLIS2/TICAM1/RLIM/BHLHE40/AGT/IL6/KLF4/PIM1/FLOT1/NLRC5/MYOCD/SIK1/BCL10/S100A8/NFKBIE/CDKN2A/TCF7L2/ADAM8/NODAL/CRTC2/NLRP3/S100A9/S100A12/NKX6-1/ZC3H12A/PRKCB/SMAD3/NKX3-1/NOD2/CTNNB1/TRIM8/CLEC7A/RELA/TRIB1/TRAF6/DDIT3/FOSL1/SPHK1/ZBTB7A/ADGRG3/IRAK1/USP7/NWD1/RELN/IL1RAP/FLNA/PELI1/AGER/TRIM13",75
"GO:0001558","GO:0001558","regulation of cell growth","73/1472","384/15025",1.99277975453241e-08,1.00961468836446e-05,7.90246823232755e-06,"SEMA3F/IFRD1/CDK11A/SEMA3B/EXTL3/OGFR/RASGRP2/CDC42/EDN1/SEMA5B/WNT11/SLC9A1/NRCAM/HNF4A/ADNP2/SMAD7/PTPRS/CDKN1B/VEGFA/HBEGF/PPP2CA/BCL6/HYAL1/TNR/RGS2/SGK1/BCL11A/PTK2B/CXCR4/INHBA/CDKN1A/CPNE5/KRT17/CDKN2D/SESN2/H3-3B/BTG1/EPHA7/ACVR1B/AGT/PLCE1/CLSTN3/MYOCD/S100A8/CDKN2A/ADAM17/SPOCK1/ING1/CXCL16/S100A9/NKX6-1/RYK/BAP1/RICTOR/NDEL1/SMAD3/GNG4/NET1/SFN/SPHK1/RIMS2/ULK1/SERTAD2/TSPYL2/SLIT3/MAPT/SEMA4D/DACT3/SMURF1/MUC12/MEG3/DDX3X/PLXNA4",73
"GO:1903131","GO:1903131","mononuclear cell differentiation","78/1472","422/15025",2.33493234578589e-08,1.08438149692206e-05,8.48768389555854e-06,"TRAF3IP2/SPI1/KLF6/PRKCZ/BCL3/JMJD6/SMARCD3/EP300/SMAD7/RIPK2/RELB/JAK3/ITGB8/LFNG/VSIR/ZBTB16/TCIRG1/CD83/VEGFA/BCL6/IL1A/ID2/FOXO3/EGR1/PTK2B/CCR2/FLT3/INHBA/PDE1B/SOX4/RUNX2/IRF1/IL1B/TNFSF9/DLL4/PHF10/CRACR2A/PRR7/RARA/ANXA1/IL6/DUSP10/NFKBIZ/ADAM8/ADAM17/CD1D/RUNX1/ZBTB7B/IKZF3/NLRP3/ZC3H12A/IL31RA/NFIL3/CLEC4E/CLEC4D/NFKBID/CTNNB1/IRF2BP2/FOS/JUNB/CHD7/PTGER4/CEBPB/SP3/TRAF6/PTPN2/CLCF1/JUN/ZBTB7A/EGR3/ZFPM1/CLEC4G/ADGRG3/IRF7/ZFP36L1/NRARP/PNP/AGER",78
