UniqueCount	AmbigCount
0	5
0	0
4	146
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
6	50
0	0
0	0
0	0
0	0
0	42
0	0
0	39
0	0
0	8
95	15
0	15
0	34
0	0
0	0
1	20
0	0
0	0
0	0
3	247
0	78
5	91
0	62
0	54
0	39
77	25
0	0
0	9
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	20
0	0
0	0
2	0
0	17
0	11
0	26
0	14
0	11
0	7
0	8
0	23
0	7
14	11
0	16
2	1
0	0
0	0
0	16
3	0
0	0
0	0
0	0
0	0
0	43
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
633	4462
116	9463
6140	58568
0	0
5	419
5	1
5416	29299
11	543
0	0
0	0
46	213
0	7
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
3	0
0	0
0	0
0	10
0	0
0	0
0	0
0	0
0	12
0	12
2	0
0	0
4	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	21
0	0
0	0
0	0
12	1
0	1
0	0
67	4
0	0
0	14
0	14
20	40
12	25
0	65
4	5
0	31
0	40
8	0
0	14
0	44
0	14
0	35
0	0
0	14
0	12
0	0
0	14
0	14
0	14
0	14
0	0
7	11
0	11
0	12
0	14
0	30
0	30
0	34
0	14
0	13
0	13
0	14
0	0
0	14
0	30
0	13
0	0
0	1
0	4
0	0
0	11
0	1
0	0
0	0
14	11
0	1
0	5
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
10	228
0	103
11	197
0	0
12	68
3	3
32	6
16	0
3	6
5	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	31
0	6
21	31
0	0
0	0
7	601
0	567
0	538
0	572
0	13
0	19
1	6
0	0
0	5
6	120
0	5
8	16
0	22
0	6
0	17
0	20
1	22
0	17
0	17
0	0
0	6
0	0
0	0
0	0
0	52
0	41
0	56
0	58
15	33
0	53
3	53
0	10
0	47
0	35
0	31
0	31
0	8
0	4
0	1
0	4
0	4
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	2
0	2
0	0
0	0
0	11
0	9
0	5
0	11
0	8
0	7
0	8
0	6
0	8
0	8
0	5
0	3
0	11
0	0
11	967
0	894
0	764
15	300
1	155
0	309
0	188
127	0
0	0
0	0
0	0
0	0
0	0
2	0
0	183
7	194
0	186
0	134
4	164
0	86
3	125
0	2
0	155
4	115
0	60
0	17
0	32
0	46
0	84
0	1
0	31
0	49
1	57
12	0
0	0
0	0
0	10
0	12
4	12
0	12
0	0
0	8
1	0
0	5
33	218
19	255
1	138
0	141
0	1
0	12
0	19
0	7
28	85
0	58
0	18
0	41
0	0
0	0
11	40
0	9
0	3
0	24
0	0
0	19
0	20
0	105
0	180
0	180
0	149
0	34
0	155
0	184
0	149
5	135
0	65
0	119
0	180
0	149
0	140
0	145
0	152
0	56
0	36
11	10
0	107
0	30
0	58
0	66
3	21
0	41
0	61
0	0
0	2
0	33
0	12
0	17
0	33
0	28
0	28
0	0
0	0
0	17
0	38
0	36
0	26
0	29
0	15
0	11
0	6
0	7
0	9
0	2
0	3
0	0
0	0
0	0
0	52
57	60
0	8
10	0
0	127
15	122
0	19
0	24
0	1
0	1
3	11
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
5	296
1	292
22	292
5	286
1	2
0	4
0	0
0	216
4	322
0	251
4	145
0	396
0	247
0	365
0	361
0	148
0	276
0	56
5	53
0	59
0	26
0	97
2	0
0	32
0	0
0	11
3	59
4	53
0	49
0	64
0	47
0	62
0	34
0	37
0	40
0	0
0	34
0	51
0	51
0	1
67	119
0	38
16	89
9	2
6	81
0	25
0	0
13	9
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	3
3	3
0	0
0	7
0	0
0	0
3	90
0	38
27	64
0	15
1	22
4	8
0	0
0	0
0	0
1	144
1	85
0	85
0	121
0	97
3	1
0	24
0	14
1	0
0	0
202	343
1	195
0	148
104	36
5	2
15	2
0	0
90	0
10	0
26	0
1	136
0	140
0	147
0	150
0	114
0	121
0	142
34	19
0	4
1	162
1	26
0	130
0	36
0	14
4	12
0	149
0	61
0	10
0	113
3	100
5	0
0	0
0	114
1	27
2	8
0	10
0	7
8	31
0	36
0	20
0	18
0	18
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
4	637
0	570
0	562
0	557
3	502
0	378
0	378
0	378
0	241
0	0
0	166
6	856
0	854
8	294
12	166
0	0
0	0
0	0
36	433
0	381
0	22
4	303
0	366
0	282
0	407
0	449
0	382
0	382
4	0
0	10
0	12
0	1
3	49
0	13
0	7
1	63
0	29
6	96
5	29
0	0
0	1
59	371
0	0
5	0
0	0
0	0
4	163
1	24
2	151
0	62
12	991
5	984
67	967
4	335
3	3
0	55
5	35
0	27
6	59
0	23
0	22
0	20
9	275
0	178
2	172
0	144
0	1
2	2391
87	2765
506	4032
6	2867
1	1731
0	2798
0	1645
0	2829
0	2777
2	1729
0	1289
0	2207
0	2773
0	2744
0	2760
3	2718
0	2710
0	2377
27	2622
3	2327
2	2620
8	2569
0	2048
0	1164
8	215
4	543
0	481
0	228
0	4
0	1078
5	0
0	5
0	5
0	3
0	5
0	3
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	2
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
7	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	1
0	0
0	0
0	0
0	0
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	0
0	1
0	1
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
6	0
0	0
1	0
2	7
0	7
2	49
0	89
0	39
45	29
0	40
3	118
0	64
3	64
9	64
0	8
0	52
0	0
0	0
0	0
0	18
648	44
0	0
0	3
0	26
0	0
0	0
0	14
0	8
0	14
0	0
5	3
0	3
15	0
0	2
1	1
0	0
0	1
0	0
7	0
0	0
