#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ATF3	EGR2	9606.ENSP00000344352	9606.ENSP00000242480	0	0	0	0	0.436	0.066	0	0.656	0.803
ATF3	FOS	9606.ENSP00000344352	9606.ENSP00000306245	0	0	0	0.757	0.470	0.353	0	0.984	0.994
ATF3	MAFB	9606.ENSP00000344352	9606.ENSP00000362410	0	0	0	0	0.063	0.357	0	0.618	0.750
ATF3	JUN	9606.ENSP00000344352	9606.ENSP00000360266	0	0	0	0	0.550	0.931	0	0.995	0.999
BACH1	MAF	9606.ENSP00000382805	9606.ENSP00000327048	0	0	0	0	0.055	0.350	0	0.802	0.868
BACH1	MAFB	9606.ENSP00000382805	9606.ENSP00000362410	0	0	0	0	0.063	0.741	0	0.114	0.766
CCND3	MAFB	9606.ENSP00000362082	9606.ENSP00000362410	0	0	0	0	0.055	0	0	0.747	0.750
CTCF	MAFB	9606.ENSP00000494538	9606.ENSP00000362410	0	0	0	0	0	0.045	0.800	0.311	0.857
DEPTOR	MAFB	9606.ENSP00000286234	9606.ENSP00000362410	0	0	0	0	0.042	0.045	0	0.708	0.709
EGR2	MAFB	9606.ENSP00000242480	9606.ENSP00000362410	0	0	0	0	0.124	0.045	0.500	0.428	0.729
EGR2	ATF3	9606.ENSP00000242480	9606.ENSP00000344352	0	0	0	0	0.436	0.066	0	0.656	0.803
EGR2	JUN	9606.ENSP00000242480	9606.ENSP00000360266	0	0	0	0	0.462	0.091	0.500	0.596	0.888
EGR2	FOS	9606.ENSP00000242480	9606.ENSP00000306245	0	0	0	0	0.513	0.066	0.500	0.858	0.963
ETS1	FOS	9606.ENSP00000376436	9606.ENSP00000306245	0	0	0	0	0.055	0	0	0.733	0.737
ETS1	JUN	9606.ENSP00000376436	9606.ENSP00000360266	0	0	0	0	0.086	0.465	0	0.761	0.873
ETS1	MAFB	9606.ENSP00000376436	9606.ENSP00000362410	0	0	0	0	0	0	0	0.870	0.870
FOS	SPI1	9606.ENSP00000306245	9606.ENSP00000227163	0	0	0	0	0.074	0.292	0	0.965	0.975
FOS	EGR2	9606.ENSP00000306245	9606.ENSP00000242480	0	0	0	0	0.513	0.066	0.500	0.858	0.963
FOS	IRF8	9606.ENSP00000306245	9606.ENSP00000268638	0	0	0	0	0.056	0.088	0	0.735	0.752
FOS	ETS1	9606.ENSP00000306245	9606.ENSP00000376436	0	0	0	0	0.055	0	0	0.733	0.737
