#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
BCL6	SPI1	9606.ENSP00000384371	9606.ENSP00000227163	0	0	0	0	0.098	0.292	0	0.804	0.863
BCL6	PAX5	9606.ENSP00000384371	9606.ENSP00000350844	0	0	0	0	0	0.047	0	0.930	0.931
BCL6	JUN	9606.ENSP00000384371	9606.ENSP00000360266	0	0	0	0	0.127	0.328	0	0.708	0.814
BCL6	HDAC1	9606.ENSP00000384371	9606.ENSP00000362649	0	0	0	0	0	0.796	0	0.695	0.935
BCL6	IRF4	9606.ENSP00000384371	9606.ENSP00000370343	0	0	0	0	0	0.538	0	0.880	0.942
CBFA2T3	SPI1	9606.ENSP00000268679	9606.ENSP00000227163	0	0	0	0	0.147	0.092	0	0.760	0.797
CBFA2T3	RUNX1T1	9606.ENSP00000268679	9606.ENSP00000402257	0	0	0.054	0.966	0.054	0.762	0	0.070	0.775
CBFA2T3	HDAC1	9606.ENSP00000268679	9606.ENSP00000362649	0	0	0	0	0.055	0.510	0	0.767	0.882
CBFA2T3	GATA1	9606.ENSP00000268679	9606.ENSP00000365858	0	0	0	0	0.086	0.060	0	0.945	0.949
CBFA2T3	TAL1	9606.ENSP00000268679	9606.ENSP00000294339	0	0	0	0	0.064	0.639	0	0.885	0.958
CBFA2T3	RUNX1	9606.ENSP00000268679	9606.ENSP00000300305	0	0	0	0	0	0.513	0	0.954	0.976
CD14	SPI1	9606.ENSP00000385519	9606.ENSP00000227163	0	0	0	0	0.335	0	0.900	0.108	0.935
CD14	TYROBP	9606.ENSP00000385519	9606.ENSP00000262629	0	0	0	0	0.796	0	0	0.138	0.817
CD14	CSF1R	9606.ENSP00000385519	9606.ENSP00000286301	0	0	0	0	0.767	0	0	0.192	0.803
CD14	ITGB2	9606.ENSP00000385519	9606.ENSP00000380948	0	0	0	0	0.495	0	0.500	0.290	0.805
