"","Gene_name","log2FoldChange","padj"
"1","ENSG00000006704",3.5722575550614,5.01139741679875e-05
"2","ENSG00000007372",-7.52362856543125,0.0228743723450155
"3","ENSG00000009950",-4.53991385547296,3.47446534704494e-06
"4","ENSG00000018869",4.42675665415059,0.0273200572992441
"5","ENSG00000020633",-2.62803795733449,2.07150913707297e-07
"6","ENSG00000025156",-3.03194676547012,1.02546958292439e-06
"7","ENSG00000025434",4.78279622399514,7.58805333597544e-13
"8","ENSG00000030419",6.13003194827595,3.29116417822293e-06
"9","ENSG00000050344",3.71156978019123,5.37531159416834e-07
"10","ENSG00000057657",-3.07756451277008,5.32518394985285e-05
"11","ENSG00000059728",-3.73692034801232,1.28376866886706e-09
"12","ENSG00000062370",4.14854528804964,0.00198432700100077
"13","ENSG00000067082",-2.77666212873173,1.46133738684305e-08
"14","ENSG00000070444",-3.50443166618916,1.1323446464883e-13
"15","ENSG00000075426",-4.3724215429004,4.40845992947772e-19
"16","ENSG00000076108",-1.66484441787276,0.00108385394605373
"17","ENSG00000077150",-3.62141085536822,4.53174355973278e-20
"18","ENSG00000079432",-1.66778700419851,0.014224312125255
"19","ENSG00000081386",2.49619792442002,0.00378876920905609
"20","ENSG00000091831",3.76151796364762,0.00133698497274743
"21","ENSG00000095574",-2.75529400280116,1.63753588077136e-05
"22","ENSG00000096654",2.32385166246531,0.0249184377339384
"23","ENSG00000100644",-5.17379398213641,1.07514914804188e-37
"24","ENSG00000101057",5.7276453608651,1.68145236675158e-30
"25","ENSG00000101076",-7.5877839539095,0.000733837628913869
"26","ENSG00000101216",-2.08565815735371,0.000461761263887987
"27","ENSG00000101412",3.58644844674369,0.00016520232197437
"28","ENSG00000102034",-2.87547932163803,3.20562911402163e-14
"29","ENSG00000102554",-3.6665752493731,0.00225243817383341
"30","ENSG00000102908",-2.26484944754652,1.80485623269514e-05
"31","ENSG00000104856",-3.6620901633212,4.7671859120374e-23
"32","ENSG00000105392",-3.89679517132597,1.12430984789527e-08
"33","ENSG00000105656",-3.93733811317688,4.88146619864575e-17
"34","ENSG00000105722",-2.68105245623953,1.4560956470574e-06
"35","ENSG00000106004",-6.56195803819905,8.29655300389988e-05
"36","ENSG00000106546",-3.83821957922233,3.27168402680235e-21
"37","ENSG00000109320",-1.99602790841064,0.00150213219212581
"38","ENSG00000109381",-1.93003180300213,0.000975406184563118
"39","ENSG00000109787",-3.03400824017965,2.21817866271318e-17
"40","ENSG00000109819",-7.60866858951385,0.00187872953821003
"41","ENSG00000109906",-5.55077538764968,5.07058711861722e-10
"42","ENSG00000111206",3.62842540459046,7.23035428814016e-05
"43","ENSG00000112033",1.71891637296761,0.0190890393572789
"44","ENSG00000112182",-8.17651557897557,0.0013258128801653
"45","ENSG00000113916",-2.27083314581964,0.00345803582192979
"46","ENSG00000114315",-12.5410951246902,3.63009255305812e-05
"47","ENSG00000116604",-3.73960567115129,4.19862934577696e-19
"48","ENSG00000116731",-1.96394120603552,9.35953723285814e-06
"49","ENSG00000116809",-3.19370518134447,1.48858570959821e-08
"50","ENSG00000117036",-2.82663596787487,7.51825530123504e-13
"51","ENSG00000118263",-2.42877442308624,7.10426548048244e-07
"52","ENSG00000118689",-3.2481473339181,2.03401268896322e-16
"53","ENSG00000118985",-2.41273461117415,5.62482786656404e-05
"54","ENSG00000119547",-8.02742465047013,0.0304953332462929
"55","ENSG00000119772",2.21845216093524,1.5132284067518e-06
"56","ENSG00000120093",-6.86597864330497,0.0153551052195033
"57","ENSG00000120690",-1.96960993626338,2.92599563889249e-07
"58","ENSG00000120738",-5.12459865447008,1.02728048575085e-05
"59","ENSG00000120784",3.96968540860275,0.000232088735595545
"60","ENSG00000121454",-8.1603385721257,0.000213345630118557
"61","ENSG00000122482",-1.90321316236033,0.0022535366737548
"62","ENSG00000122877",2.52177621122924,0.0109992296818712
"63","ENSG00000123095",8.53495617153601,1.32799686030061e-16
"64","ENSG00000123358",-7.21806061230332,1.06065215812209e-05
"65","ENSG00000124092",-7.23556489912877,0.0362403187494634
"66","ENSG00000124766",-2.21201552443737,0.0068101371899701
"67","ENSG00000124782",-1.91780007899284,0.002093633755097
"68","ENSG00000125347",-5.46436785757361,6.38367098625541e-28
"69","ENSG00000125740",-11.1267160858259,1.33478466418635e-13
"70","ENSG00000125812",-4.58359057652025,0.00158525447237026
"71","ENSG00000126003",-2.21821449219725,4.27464399523485e-05
"72","ENSG00000126351",-1.98075145317103,0.00551636094364492
"73","ENSG00000126368",-4.99134403019567,7.64332920029523e-23
"74","ENSG00000127528",-4.82486274665064,2.7969781761048e-10
"75","ENSG00000128272",-2.20472103004508,7.90105462773388e-06
"76","ENSG00000129173",5.80103307421267,8.3232276194342e-07
"77","ENSG00000130522",-2.3231268096253,0.000604638405812833
"78","ENSG00000130844",-2.92483235392422,0.000123523256291933
"79","ENSG00000131196",-1.79238971156297,0.014224312125255
"80","ENSG00000131408",-2.02514296031319,7.34392650053177e-05
"81","ENSG00000131759",-1.84026205438918,0.0388201845054458
"82","ENSG00000131849",4.49572161948587,0.00195696532416462
"83","ENSG00000132475",-3.40308333992252,1.09342431011376e-06
"84","ENSG00000132510",-4.18697008785686,2.99158795413218e-28
"85","ENSG00000136451",-2.13353860441515,9.87257914669368e-06
"86","ENSG00000136826",-2.82032847471468,0.00293318992401731
"87","ENSG00000136997",1.99718790135228,0.0376216600303836
"88","ENSG00000137166",-2.24336599230634,0.0154815561405345
"89","ENSG00000137709",-5.97351618076703,0.0326726362795599
"90","ENSG00000139083",-1.5823086483011,0.04633251656935
"91","ENSG00000140009",-7.66741592576622,0.0367589434356358
"92","ENSG00000140044",-3.76571095388846,2.1690152709767e-21
"93","ENSG00000140455",-2.57511559737631,9.37290263502807e-09
"94","ENSG00000140853",-2.30451811911077,1.88240684904196e-05
"95","ENSG00000141510",2.27025050994389,0.00232493334623324
"96","ENSG00000142409",-2.46797284614747,1.83349218911902e-05
"97","ENSG00000143257",-6.27279473278303,0.00561719543378315
"98","ENSG00000143995",-6.74243161419575,0.0345655263261081
"99","ENSG00000144655",-6.40640966464973,8.16985229817685e-33
"100","ENSG00000144802",-3.57543236893283,4.13438826395267e-07
"101","ENSG00000147050",-2.36390980045374,8.0896053795224e-05
"102","ENSG00000150907",-3.53974987524088,7.63054191257788e-07
"103","ENSG00000153234",-7.72827923152357,1.8352351705387e-12
"104","ENSG00000153560",-2.17877526969452,0.000875766114358184
"105","ENSG00000155090",-3.85781226759259,3.76553573186062e-24
"106","ENSG00000156273",-2.15785653502805,0.00757543210841964
"107","ENSG00000157557",-4.56079223399846,6.03103164263394e-12
"108","ENSG00000158773",-1.85731315076271,0.00904035101806186
"109","ENSG00000160229",-2.51678064110971,0.0149672950225151
"110","ENSG00000160633",-1.7883245212809,0.0324364810962892
"111","ENSG00000160877",2.07427923917337,0.00128224643128016
"112","ENSG00000160908",-2.95306870916157,1.18289953223031e-18
"113","ENSG00000161298",3.04996536075769,0.00206889540512407
"114","ENSG00000161405",-4.29148513673794,6.44247311369006e-06
"115","ENSG00000162419",-1.70313732244779,0.0499385950547069
"116","ENSG00000162702",-2.65820191991999,2.96550042809625e-08
"117","ENSG00000162711",-4.99886632331991,1.44372338470354e-46
"118","ENSG00000162772",-3.31035353168239,0.0131459219384969
"119","ENSG00000162924",-3.34008233477808,2.37459624613584e-27
"120","ENSG00000164011",3.49092797952344,0.00652817561602448
"121","ENSG00000164032",2.29477871565903,0.000253397194972254
