#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CBFA2T2	RUNX1T1	9606.ENSP00000262653	9606.ENSP00000402257	0	0	0.054	0.962	0	0.735	0	0.649	0.904
CBFA2T2	CBFA2T3	9606.ENSP00000262653	9606.ENSP00000268679	0	0	0.063	0.952	0	0.813	0	0.507	0.906
CBFA2T2	RUNX1	9606.ENSP00000262653	9606.ENSP00000300305	0	0	0	0	0	0.512	0	0.818	0.907
CBFA2T3	SPI1	9606.ENSP00000268679	9606.ENSP00000227163	0	0	0	0	0.147	0.092	0	0.760	0.797
CBFA2T3	LMO2	9606.ENSP00000268679	9606.ENSP00000257818	0	0	0	0	0.124	0.053	0	0.739	0.765
CBFA2T3	CBFA2T2	9606.ENSP00000268679	9606.ENSP00000262653	0	0	0.063	0.952	0	0.813	0	0.507	0.906
CBFA2T3	TCF3	9606.ENSP00000268679	9606.ENSP00000262965	0	0	0	0	0.049	0.528	0	0.757	0.881
CBFA2T3	LYL1	9606.ENSP00000268679	9606.ENSP00000264824	0	0	0	0	0.095	0.295	0	0.774	0.843
CBFA2T3	HDAC2	9606.ENSP00000268679	9606.ENSP00000430432	0	0	0	0	0.055	0.510	0	0.463	0.729
CBFA2T3	RUNX1T1	9606.ENSP00000268679	9606.ENSP00000402257	0	0	0.054	0.966	0.054	0.762	0	0.070	0.775
CBFA2T3	CBFB	9606.ENSP00000268679	9606.ENSP00000415151	0	0	0	0	0	0.292	0	0.754	0.818
CBFA2T3	HDAC1	9606.ENSP00000268679	9606.ENSP00000362649	0	0	0	0	0.055	0.510	0	0.767	0.882
CBFA2T3	GATA1	9606.ENSP00000268679	9606.ENSP00000365858	0	0	0	0	0.086	0.060	0	0.945	0.949
CBFA2T3	TAL1	9606.ENSP00000268679	9606.ENSP00000294339	0	0	0	0	0.064	0.639	0	0.885	0.958
CBFA2T3	RUNX1	9606.ENSP00000268679	9606.ENSP00000300305	0	0	0	0	0	0.513	0	0.954	0.976
CBFA2T3	LDB1	9606.ENSP00000268679	9606.ENSP00000501277	0	0	0	0	0.061	0.516	0	0.982	0.991
CBFB	SPI1	9606.ENSP00000415151	9606.ENSP00000227163	0	0	0	0	0.042	0	0.500	0.445	0.710
CBFB	LMO2	9606.ENSP00000415151	9606.ENSP00000257818	0	0	0	0	0	0.070	0.500	0.746	0.871
CBFB	TCF3	9606.ENSP00000415151	9606.ENSP00000262965	0	0	0	0	0.049	0	0.500	0.869	0.932
CBFB	EP300	9606.ENSP00000415151	9606.ENSP00000263253	0	0	0	0	0.049	0	0.500	0.614	0.800
CBFB	LYL1	9606.ENSP00000415151	9606.ENSP00000264824	0	0	0	0	0	0	0	0.921	0.921
CBFB	LEF1	9606.ENSP00000415151	9606.ENSP00000265165	0	0	0	0	0.066	0	0	0.740	0.747
CBFB	CDK6	9606.ENSP00000415151	9606.ENSP00000265734	0	0	0	0	0.067	0	0.700	0.415	0.821
CBFB	CBFA2T3	9606.ENSP00000415151	9606.ENSP00000268679	0	0	0	0	0	0.292	0	0.754	0.818
CBFB	TAL1	9606.ENSP00000415151	9606.ENSP00000294339	0	0	0	0	0	0	0.500	0.700	0.843
CBFB	RUNX1	9606.ENSP00000415151	9606.ENSP00000300305	0	0	0	0	0.048	0.995	0.900	0.999	0.999
CBFB	CEBPB	9606.ENSP00000415151	9606.ENSP00000305422	0	0	0	0	0	0.507	0	0.466	0.725
CBFB	GATA2	9606.ENSP00000415151	9606.ENSP00000345681	0	0	0	0	0	0	0.500	0.642	0.813
CBFB	RUNX2	9606.ENSP00000415151	9606.ENSP00000360493	0	0	0	0	0	0.988	0.900	0.996	0.999
CBFB	FOXP3	9606.ENSP00000415151	9606.ENSP00000365380	0	0	0	0	0	0.095	0.700	0.725	0.918
CBFB	GATA1	9606.ENSP00000415151	9606.ENSP00000365858	0	0	0	0	0	0	0.500	0.759	0.874
CBFB	GATA3	9606.ENSP00000415151	9606.ENSP00000368632	0	0	0	0	0	0	0.500	0.475	0.726
CBFB	ETS1	9606.ENSP00000415151	9606.ENSP00000376436	0	0	0	0	0.083	0.537	0	0.622	0.825
CBFB	SIN3A	9606.ENSP00000415151	9606.ENSP00000378402	0	0	0	0	0.107	0	0.500	0.495	0.754
CBFB	MYH11	9606.ENSP00000415151	9606.ENSP00000379616	0	0	0	0	0	0	0	0.978	0.978
CBFB	RUNX3	9606.ENSP00000415151	9606.ENSP00000382800	0	0	0	0	0.048	0.905	0.900	0.997	0.999
CBFB	RUNX1T1	9606.ENSP00000415151	9606.ENSP00000402257	0	0	0	0	0	0	0	0.780	0.780
CBFB	PRMT1	9606.ENSP00000415151	9606.ENSP00000406162	0	0	0	0	0.075	0	0.800	0.431	0.885
CBFB	LDB1	9606.ENSP00000415151	9606.ENSP00000501277	0	0	0	0	0	0	0.500	0.642	0.813
CBFB	FLI1	9606.ENSP00000415151	9606.ENSP00000433488	0	0	0	0	0.082	0.809	0	0.136	0.835
