#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AMOTL1	STAT3	9606.ENSP00000387739	9606.ENSP00000264657	0	0	0	0	0	0	0	0.965	0.965
AMOTL1	MYC	9606.ENSP00000387739	9606.ENSP00000478887	0	0	0	0	0.052	0	0	0.972	0.972
BIN1	MYC	9606.ENSP00000316779	9606.ENSP00000478887	0	0	0	0	0.044	0.975	0.540	0.989	0.999
BRCA1	CCND1	9606.ENSP00000418960	9606.ENSP00000227507	0	0	0	0	0	0.510	0	0.848	0.922
BRCA1	CDK4	9606.ENSP00000418960	9606.ENSP00000257904	0	0	0	0	0.127	0.625	0.800	0.633	0.972
BRCA1	EP300	9606.ENSP00000418960	9606.ENSP00000263253	0	0	0	0	0.068	0.820	0	0.928	0.986
BRCA1	STAT3	9606.ENSP00000418960	9606.ENSP00000264657	0	0	0	0	0	0	0	0.812	0.812
BRCA1	CDK2	9606.ENSP00000418960	9606.ENSP00000266970	0	0	0	0	0.194	0.735	0.500	0.872	0.984
BRCA1	TP53	9606.ENSP00000418960	9606.ENSP00000269305	0	0	0	0	0.067	0.895	0.500	0.999	0.999
BRCA1	SKP2	9606.ENSP00000418960	9606.ENSP00000274255	0	0	0	0	0.192	0.510	0	0.399	0.741
BRCA1	EZH2	9606.ENSP00000418960	9606.ENSP00000320147	0	0	0	0	0.227	0.516	0	0.818	0.926
BRCA1	SMAD3	9606.ENSP00000418960	9606.ENSP00000332973	0	0	0	0	0	0.510	0	0.740	0.867
BRCA1	HSP90AA1	9606.ENSP00000418960	9606.ENSP00000335153	0	0	0	0	0.056	0.292	0	0.660	0.752
BRCA1	KAT5	9606.ENSP00000418960	9606.ENSP00000340330	0	0	0	0	0	0	0.500	0.714	0.850
BRCA1	SMARCA4	9606.ENSP00000418960	9606.ENSP00000343896	0	0	0	0	0.056	0.628	0	0.957	0.983
BRCA1	E2F1	9606.ENSP00000418960	9606.ENSP00000345571	0	0	0	0	0.140	0.423	0	0.775	0.879
BRCA1	JUN	9606.ENSP00000418960	9606.ENSP00000360266	0	0	0	0	0	0.589	0	0.520	0.794
BRCA1	HDAC1	9606.ENSP00000418960	9606.ENSP00000362649	0	0	0	0	0.055	0.510	0	0.917	0.958
BRCA1	NFE2L2	9606.ENSP00000418960	9606.ENSP00000380252	0	0	0	0	0	0.292	0.400	0.597	0.813
BRCA1	CDKN1A	9606.ENSP00000418960	9606.ENSP00000384849	0	0	0	0	0	0.292	0	0.742	0.809
BRCA1	ESR1	9606.ENSP00000418960	9606.ENSP00000405330	0	0	0	0	0	0.904	0	0.995	0.999
BRCA1	CDKN2A	9606.ENSP00000418960	9606.ENSP00000418915	0	0	0	0	0.045	0.309	0	0.766	0.832
BRCA1	CTNNB1	9606.ENSP00000418960	9606.ENSP00000495360	0	0	0	0	0.045	0.292	0	0.634	0.731
BRCA1	MYC	9606.ENSP00000418960	9606.ENSP00000478887	0	0	0	0	0.049	0.825	0	0.995	0.999
CCND1	DNMT3A	9606.ENSP00000227507	9606.ENSP00000264709	0	0	0	0	0	0	0.500	0.441	0.708
CCND1	SMARCA4	9606.ENSP00000227507	9606.ENSP00000343896	0	0	0	0	0.055	0	0.500	0.453	0.718
CCND1	SMAD2	9606.ENSP00000227507	9606.ENSP00000262160	0	0	0	0	0.067	0	0	0.736	0.743
CCND1	MAPK3	9606.ENSP00000227507	9606.ENSP00000263025	0	0	0	0	0.060	0	0	0.739	0.744
CCND1	HSP90AA1	9606.ENSP00000227507	9606.ENSP00000335153	0	0	0	0	0.048	0.185	0	0.786	0.819
CCND1	HDAC1	9606.ENSP00000227507	9606.ENSP00000362649	0	0	0	0	0.060	0.601	0	0.590	0.833
CCND1	HIF1A	9606.ENSP00000227507	9606.ENSP00000437955	0	0	0	0	0.042	0	0.400	0.802	0.876
CCND1	JUN	9606.ENSP00000227507	9606.ENSP00000360266	0	0	0	0	0.042	0.292	0.500	0.790	0.919
CCND1	BRCA1	9606.ENSP00000227507	9606.ENSP00000418960	0	0	0	0	0	0.510	0	0.848	0.922
CCND1	CUL1	9606.ENSP00000227507	9606.ENSP00000326804	0	0	0	0	0	0.735	0.500	0.474	0.924
CCND1	E2F1	9606.ENSP00000227507	9606.ENSP00000345571	0	0	0	0	0.062	0.068	0.500	0.876	0.938
CCND1	FOS	9606.ENSP00000227507	9606.ENSP00000306245	0	0	0	0	0.055	0.469	0.500	0.799	0.942
CCND1	TP53	9606.ENSP00000227507	9606.ENSP00000269305	0	0	0	0	0	0.292	0	0.928	0.946
CCND1	SKP2	9606.ENSP00000227507	9606.ENSP00000274255	0	0	0	0	0.093	0.626	0.500	0.791	0.959
CCND1	KAT2B	9606.ENSP00000227507	9606.ENSP00000263754	0	0	0	0	0	0.510	0.500	0.847	0.959
CCND1	SKP1	9606.ENSP00000227507	9606.ENSP00000231487	0	0	0	0	0	0.897	0.500	0.440	0.968
CCND1	MYC	9606.ENSP00000227507	9606.ENSP00000478887	0	0	0	0	0.067	0	0.400	0.950	0.969
